Unnamed: 0,VPD_NOMINALINCIDENTID_PK,VPD_CONSENTNAME,VPD_NOCONSENTREASON,VPD_CREATEDON,VPD_LASTUPDATEDON,VPD_NOMINALSYNOPSIS,VPD_GPCONSENT,VPD_VPTYPEID_FK,VPD_INCIDENTID_FK,VPD_WELLBEINGCOMMENTS,VPD_NOTINFORMEDREASON,VPD_NOGPCONSENTREASON,VPD_SCRA,VPD_THREEPOINTTEST,VPD_YOUTHATTITUDE,VPD_PARENTATTITUDE,VPD_NOMINALSVIEW,VPD_CHILDPROTECTION,VPD_RECORD_START_DATE,VPD_FORENAME,VPD_SURNAME,VPD_MAIDEN_NAME,VPD_CREATEDON_1,VPD_PLACEOFBIRTH,VPD_PERSONLANGUAGE,VPD_INTERPRETERREQID_FK,VPD_DISABILITY,VPD_DISABILITYDESC,VPD_PERSONETHNICAPPEARANCE,VPD_PERSONGENDER,VPD_KNOWNAS,VPD_REPEATVICTIM,VPD_REPEATPERPETRATOR,misper_misperid,entities_landmarks,entities_addresses,entities_location_types,entities_people_names,entities_people_desc,entities_people_relat,entities_pattern_types,vpd_serious_and_organised_crime_exploitation,vpd_stalking_and_harassment,vpd_suicide_concern,vpd_violence_used,vpd_weapon_used__acra_only_,vpd_bullying,vpd_child_at_locus,vpd_neglect,vpd_self_neglect,vpd_child_criminal_exploitation__cce_,vpd_child_sexual_exploitation__cse_,vpd_community_triage_service,vpd_distress_brief_intervention__dbi_,vpd_dsdas,vpd_child_victim,vpd_child_witnessed,vpd_female_genital_mutilation__fgm_,vpd_forced_marriage__fm_,vpd_gambling,vpd_honour_based_abuse__hba_,vpd_human_trafficking,vpd_looked_after_accommodated_child__laac_,vpd_missing_person,vpd_online_child_sexual_abuse_and_exploitation__ocsae_,vpd_pregnancy__unborn_baby_,vpd_sexual_harm,vpd_elderly,vpd_attempted_suicide,vpd_financial,vpd_sight_loss,vpd_physical_disability,vpd_psychological_harm,vpd_self_harm,vpd_isolation,vpd_hearing_loss,vpd_alcohol_consumption,vpd_learning_disability,vpd_communication_needs,vpd_mental_health_issues,vpd_drug_consumption,vpd_other,vpd_radicalisation
0,100001,Annette Taylor,Would not engage with police,2015-05-10 08:35:08,2015-05-10 08:35:08,"Ellie, showing untreated illness, at a local nightclub.",1,1,600727,Ellie is currently exhibiting signs of dementia and requires support.,Would not engage with police,Would not engage with police,100,1,,,"Ellie unable to engage, does not consent to police involvement.",,28-Nov-2022 14:48:11.000Z[UTC],Ellie,Brown,,2015-02-12 05:48:08,Birmingham,English,1,Yes (please specify),Dementia,White Scottish,Female,Sed,N,N,4386,,,,,,,undiagnosed mental illness,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
1,100002,Ellie Brown,,2015-08-10 09:02:08,2015-08-12 09:02:08,Ellie wandered from cemetery to sports arena.,1,1,635475,Ellie is receiving support for her dementia care needs.,,,100,2,,,Ellie acknowledged consent despite her dementia-related challenges.,,28-Nov-2022 14:48:11.000Z[UTC],Ellie,Brown,,2015-02-12 05:48:08,Birmingham,English,1,Yes (please specify),Dementia,White Scottish,Female,Sed,N,N,4386,,,"cemetery,sports arena",,,,undiagnosed mental illness,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
2,100003,Ellie Brown,,2015-09-21 20:19:08,2015-09-22 19:12:08,,2,1,919915,Ellie is receiving appropriate support for her dementia needs.,,,100,1,,,Ellie deemed unable to fully understand due to dementia.,,28-Nov-2022 14:48:11.000Z[UTC],Ellie,Brown,,2015-02-12 05:48:08,Birmingham,English,1,Yes (please specify),Dementia,White Scottish,Female,Sed,N,N,4386,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,100004,Clare Brown,Would not engage with police,2015-12-04 20:26:08,2015-12-04 20:26:08,Ellie's colleague and daughter are concerned due to her undiagnosed mental illness and behavior changes.,100,1,990081,Ellie is receiving support and supervision for her wellbeing.,Would not engage with police,Would not engage with police,100,2,,,Ellie lacks capacity to consent and engage with authorities.,,28-Nov-2022 14:48:11.000Z[UTC],Ellie,Brown,,2015-02-12 05:48:08,Birmingham,English,1,Yes (please specify),Dementia,White Scottish,Female,Sed,N,N,4386,,,,,"colleague,daughter",,undiagnosed mental illness,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0
4,100005,Ellie Brown,,2015-12-09 21:42:08,2015-12-11 21:42:08,"Ellie was seen in a confused state at a bar, amusement park, and cemetery. Annette Taylor noted her undiagnosed mental illness.",1,1,998596,Ellie requires support due to dementia; wellbeing is monitored.,,,100,1,,,Ellie unable to grasp full implications due to dementia.,,28-Nov-2022 14:48:11.000Z[UTC],Ellie,Brown,,2015-02-12 05:48:08,Birmingham,English,1,Yes (please specify),Dementia,White Scottish,Female,Sed,N,N,4386,,,"amusement park,cemetery",Annette Taylor,,,undiagnosed mental illness,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5,100006,Ellie Brown,,2016-01-02 17:35:08,2016-01-03 05:31:08,"Ellie, seen with Denise at a cemetery, expressed desire to disappear at a bar.",100,1,999926,Ellie is safe and receiving appropriate care for her dementia.,,,100,2,,,Ellie understood and consented to database input despite dementia.,,28-Nov-2022 14:48:11.000Z[UTC],Ellie,Brown,,2015-02-12 05:48:08,Birmingham,English,1,Yes (please specify),Dementia,White Scottish,Female,Sed,Y,N,4386,,,cemetery,Denise,,,expressed desire to disappear,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,100007,Hannah Lloyd,No consent was given for information to be shared.,2016-02-26 00:39:08,2016-02-26 00:39:08,,4,1,999937,Ellie has dementia and is currently safe but vulnerable.,No consent was given for information to be shared.,No consent was given for information to be shared.,100,2,,,Ellie unaware and distressed about information being shared.,,28-Nov-2022 14:48:11.000Z[UTC],Ellie,Brown,,2015-02-12 05:48:08,Birmingham,English,1,Yes (please specify),Dementia,White Scottish,Female,Sed,Y,N,4386,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
7,100008,Frederick Turner,Unable to locate,2016-08-09 18:16:08,2016-08-09 18:16:08,,100,1,1000016,Ellie is currently receiving support for her dementia condition.,Unable to locate,Unable to locate,100,1,,,Ellie unable to provide consent due to dementia.,,28-Nov-2022 14:48:11.000Z[UTC],Ellie,Brown,,2015-02-12 05:48:08,Birmingham,English,1,Yes (please specify),Dementia,White Scottish,Female,Sed,Y,N,4386,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
8,100009,Hannah Lloyd,,2016-12-08 09:52:08,2016-12-10 09:52:08,"Ellie, linked with brother, seen distressed at rural amusement park.",1,1,1000094,Ellie is receiving appropriate support for her dementia care.,,,100,1,,,Ellie feels supported despite challenges from her condition.,,28-Nov-2022 14:48:11.000Z[UTC],Ellie,Brown,,2015-02-12 05:48:08,Birmingham,English,1,Yes (please specify),Dementia,White Scottish,Female,Sed,Y,N,4386,,,"rural,amusement park",,,brother,undiagnosed mental illness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,100010,Ellie Brown,,2017-04-08 18:50:08,2017-04-09 19:39:08,"Ellie, aged 83, who receives supportive care for dementia, was found wandering near a cemetery. Earlier, she was seen with her friend, Dominic Patel, at an amusement park where she seemed disoriented. Due to her repeated vulnerability, a report has been generated.",1,1,1000097,Ellie receives supportive care and supervision for her dementia.,,,100,1,,,Ellie acknowledged support but struggles to comprehend details fully.,,28-Nov-2022 14:48:11.000Z[UTC],Ellie,Brown,,2015-02-12 05:48:08,Birmingham,English,1,Yes (please specify),Dementia,White Scottish,Female,Sed,Y,N,4386,,,"amusement park,cemetery",Dominic Patel,friend,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
