,potential_positive,positive,partial,missing,insert_all,insert_but_in_text,insert_hallucination,try_count,truth_set,summ_set,misperid
0,5,0,5,2,1,1,0,1,"{'Road', '10 Garden Wood Inchmarlo', 'Home', 'extracurricular activities', 'Carmelite Street Banff', '14 East Park Inchmarlo', 'Seafield Circle Buckie'}","{'14 East Park, Inchmarlo', 'cemetery', 'Craigour Road, Torphins', 'Inchmarlo Road, Banchory', 'Carmelite Street, Banff', '10 Garden Wood, Inchmarlo', 'Seafield Circle, Buckie'}",42
1,10,1,9,16,0,0,0,1,"{'volunteer', 'Road', 'cafe', 'extracurricular activities', 'Phoines Estate Newtonmore PH20 1BE', 'university', 'Murrayshall Perth PH2 7PL', 'Perth', 'Inver Dunkeld PH8 0JR', 'job', 'Moray Street Blackford', '6 Seggieden Place', 'St', 'North Bank Dykes Errol', 'Balavil Brae Newtonmore', 'Phoines Estate Newtonmore', 'Park', 'Balmoral Road Blairgowrie', '6 Seggieden Place St Madoes', 'Park Road Ballachulish', '4 Moncur Road Inchture PH14 9QA', 'playground', '83 Burnside Avenue', '27 Barossa Place Perth', 'Newtonmore PH20', 'dance studio'}","{'6 Seggieden Place', 'Balmoral Road', '6 Seggieden Place, St Madoes', 'Ruthven Road', 'Seggieden Place, St Madoes', 'Park Road, Ballachulish', 'Moray Street, Blackford'}",51
2,4,1,3,2,3,3,0,1,"{'1', '1 Customhouse Way PA15 1EG', 'Home', '1 Customhouse Way', 'job', 'Larkfield Road Inverclyde PA16 0XN'}","{'North Pier, Oban, PA34 5QD', 'wilderness', 'Larkfield Road, Inverclyde, PA16 0XN', 'Railway Pier, Oban', 'Edward Street 1 CB30SZ', '1 Customhouse Way'}",157
3,19,4,15,3,10,10,0,1,"{'Road', '27 Barossa Place Perth PH1 5HH', 'Balmoral Road', 'Whitefriars Street Perth', 'Perth', 'Home', 'Errichel Aberfeldy', '10 The Stables Perth PH1 2TW', '200 Dunkeld Road', 'Caledonian Road Perth PH1 5XD', 'office', 'The', 'pharmacy', 'Balmoral Road Blairgowrie', 'Caledonian Road Perth', 'retirement community', '27 Barossa Place', 'Perth PH1', '27 Barossa Place Perth', 'PH1', 'park', 'Caledonian Road'}","{'Balmoral Road', '10 The Stables, Perth, PH1 2TW', 'Balmoral Road, Blairgowrie', 'Caledonian Road, Perth', 'orchard', 'orchard surrounding Errichel, Aberfeldy', 'Lundy Gardens, Fort William, PH33 6PD', 'dockyard', ""vicinity of his grandfather Ricky Williams' retirement community"", '37-39 York Place', 'coastal area', 'Lundy Gardens in Fort William', 'dock near Balmoral Road, Blairgowrie', 'Edinburgh Road', 'Balmoral Road in Blairgowrie', 'Caledonian Road, Perth, PH1 5XD', 'Lundy Gardens, Fort William', 'alleyway', 'dock near the retirement community', '51 Grampian Court', '22-24 Whitefriars Street, Perth', 'dock/marina', 'Grampian Court in Perth', 'dock near 200 Dunkeld Road', 'orchard in the vicinity of Balmoral Road, Blairgowrie', 'alleyway connecting the area', 'marina', '27 Barossa Place', '27 Barossa Place, Perth', 'park', 'Caledonian Road', 'Edinburgh Road, Perth'}",190
4,23,3,20,5,5,5,0,1,"{'volunteer', 'Road', 'Avenue', '39 Arthurstone Terrace', 'volunteer organization', '484 Perth Road Dundee', '33 Blackness', '33 Blackness Avenue', 'Derwent Avenue Dundee', 'Glamis Road Dundee', 'Road Dundee', '1', '6 Lownie Road Forfar', 'college', 'youth center', 'skate park', 'Glamis Road Dundee DD2 2UB', '11 Panmure Terrace Dundee DD5 2QL', 'fast food restaurant', 'St', '33 Blackness Avenue Dundee', '19 Dalgleish Street Tayport', 'Findcastle Street Dundee', 'movie theater', 'Dundee', '38 Forrestal Street', 'Road Dundee DD2', 'dance studio'}","{'33 Blackness Avenue, Dundee', 'mine', 'Findcastle Street, Dundee', 'fast food restaurant, Brechin', '484 Perth Road, Dundee', 'skate park', '19 Dalgleish Street, Tayport', '33 Blackness Ave', '11 Panmure Terrace, Dundee', 'DD2 2UB', '33 Blackness Avenue, DD2 1EY', 'Glamis Road, Dundee', '39 Arthurstone Terrace', '28 Railton Gardens, Arbroath', '6 Lownie Road, Forfar', 'Derwent Avenue, Dundee', 'Edward Street 1 CB30SZ', '22 Marine Parade Walk', 'DD6 8AH', 'youth center', 'Perth Road, Dundee', 'Forfar', 'Turnberry Avenue, Dundee', 'Strathmore Avenue, Dundee', ""St Mary's Lane, Newport-on-Tay"", 'nearby hunting area', '38 Forrestal Street, Brechin'}",212
5,21,2,19,4,7,7,0,1,"{'Road', 'Avenue', '12 South Esk Road Forfar', 'Street Dundee', 'community center', '1 Pitfour Street Dundee', '541 South Road', 'Street', '16 Cleghorn Street Dundee', 'church', 'nursing home', 'Tayside Street Carnoustie', '41 Dock Street', 'East School Road Dundee', 'Kirsty Semple Way Dundee', 'Discovery Quay', 'regular walking route', 'Findcastle Street Dundee', 'adult day care', 'home', 'Road Forfar', 'King', 'Dundee', '2 Alex King Way Arbroath', 'Dalgleish'}","{'Kirsty Semple Way, Dundee', 'school bus stop on East School Road, Dundee', 'school bus stop near his home on Dalgleish Road', 'Dalgleish Road, Dundee', '12 South Esk Road, Forfar', 'Findcastle Street, Dundee', ""King's Cross Road"", 'neighborhood', '31 Church Road, Dundee', '2 Dalgleish Road, Dundee', 'East School Road, Dundee', 'marina facilities', 'safe house', 'river', '41 Dock Street', 'Auldbar Road, Forfar', '1 Pitfour Street, Dundee', 'Tayside Street, Carnoustie', 'abandoned building', 'Lothian Crescent', 'school', 'Discovery Quay', 'derelict boat moored close to Discovery Quay', 'school bus stop', '2 Alex King Way, Arbroath', 'residence'}",253
6,29,7,22,5,2,2,0,1,"{'60 South William Street Perth PH2 8LS', '53 Cultybraggan Camp', 'volunteer organization', 'program', 'Glenfinnan Pier Road', '51 Grampian Court Perth', 'Muirhall Road', 'job', 'Broxden Avenue Perth', 'fast food restaurant', 'house', 'Caledonian Road Perth', 'York Place Perth PH2 8EH', 'Park Road Ballachulish', 'playground', 'arcade', 'Glenearn Road Perth PH2 0NJ', '60 South William Street Perth', 'Road', '101 Kinchurdy Road Boat of Garten', 'cafe', 'Muirhall Road Perth', 'Atholl Road Pitlochry', 'North Bank Dykes Errol PH2 7QQ', 'Murrayshall', 'Perth', 'Argyll Road Perth', 'Errichel Aberfeldy PH15 2EL', 'Perth PH2', 'Southlands Road', 'school', 'The', 'Phoines Estate Newtonmore', 'dance studio'}","{'53 Cultybraggan Camp', 'Phoines Estate, Newtonmore', '60 South William Street, Perth, PH2 8LS', 'Caledonian Road, Perth', 'North Bank Dykes, Errol, PH2 7QQ', 'Glenfinnan Pier Road', '101 Kinchurdy Road, Boat of Garten', '37-39 York Place, Perth, PH2 8EH', 'Glenearn Road, Perth, PH2 0NJ', 'Muirhall Road, Perth, PH2 7BH', 'Argyll Road, Perth', 'fast food restaurant', 'Argyll Road, Perth, PH1 3BZ', 'cafe on Broxden Avenue, Perth', 'underground bunker', 'Atholl Road, Pitlochry', 'arcade', 'Errichel, Aberfeldy, PH15 2EL', 'underground bunker linked to a nearby volunteer organization', 'local playground', 'Balavil Brae, Newtonmore', 'Murrayshall', 'Broxden Avenue, Perth', 'Southlands Road', '51 Grampian Court, Perth', 'school', 'Muirhall Road, Perth', '60 South William Street, Perth', 'Dundurn Walk', 'residential address in Perth', 'Park Road, Ballachulish'}",266
7,34,0,34,8,2,2,0,1,"{'1 Goosecroft Road', 'Stirling', 'Dumbarton Road', 'neighborhood cafe', '4', 'Kemper Avenue Falkirk', '1', 'church', 'Greenside Street Alloa', 'Kemper Avenue Falkirk FK1 1UF', '4 Brown Street', 'Haypark Road Denny FK6 5JZ', 'neighborhood', 'assisted living facility', '14 The Meadows Stirling FK9 5AE', 'adult day care', 'school events', 'Park Avenue', '4 Brown Street FK1 4QF', '17 Whitehouse Road', 'Dumbarton Road FK8 2QL', 'Avenue', 'FK1', 'Road', 'Kirk', 'Road Stirling', 'Kemper Avenue', '1 Goosecroft Road Stirling', 'Street', 'Haypark Road Denny', 'Falkirk', 'school', 'Park Avenue FK2 9LG', 'pharmacy', 'The', 'Greenside Street', 'Greenside Street Alloa FK10 1EB', '17 Whitehouse Road Stirling FK7 7XX', 'Kirk Entry', '1 Goosecroft Road Stirling FK8 1JA', 'park', '14 The Meadows Stirling'}","{'', 'Dumbarton Road, FK8 2QL', '4 Brown Street, FK1 4QF', 'Haypark Road, Denny', 'Kemper Avenue, Falkirk', ""130 Bo'ness Road, Grangemouth, FK3 9BX"", 'Greenside Street, Alloa, FK10 1EB', 'Park Avenue, FK2 9LG', 'Craigs Terrace, Rumford', 'The Meadows, Stirling', 'Burnbank Road, Falkirk, FK2 7PE', ""Bo'ness Road, Grangemouth"", 'Edward Street 1 CB30SZ', ""Kirk Entry Bo'ness Road, Falkirk, FK2 0QS"", 'Brown Street', 'West Bridge Street, Falkirk', '17 Whitehouse Road, Stirling, FK7 7XX', '14 The Meadows, Stirling', '1 Goosecroft Road, Stirling, FK8 1JA'}",270
8,13,0,13,5,2,1,1,1,"{'bingo hall', 'Road', 'Bruce Street Alloa FK10 1RX', '88 High Station Road Falkirk FK1 5QX', '12 Fountain Road Bridge of Allan', '24 Munro Road Stirling', 'Home', 'Nicolton Avenue FK2 0TP', 'Foundry Loan Larbert FK5 4AW', '12 Fountain Road Bridge of Allan FK9 4ET', 'The', 'pharmacy', 'Bridge of', 'Foundry Loan Larbert', '88 High Station Road Falkirk', 'regular walking route', 'dialysis center', '14 The Meadows Stirling'}","{'12 Fountain Road, Bridge of Allan, FK9 4ET', 'Slamannan Road, Falkirk', 'Simpson Avenue', 'Rooftop, undisclosed location', 'Rooftop of her building', 'High Station Road, Falkirk', 'Rooftop of a nearby building', 'West Bridge Street, Falkirk, FK1 5AP', 'Park Avenue, FK2 9LG', '88 High Station Road, Falkirk, FK1 5QX', '25 Slamannan Road, Falkirk', '12 Fountain Road, Bridge of Allan', 'Foundry Loan, Larbert', 'The Meadows, Stirling', 'Park Avenue', 'Bruce Street, Alloa, FK10 1RX', 'Munro Road, Stirling', '88 High Station Road, Falkirk', 'Nicolton Avenue, FK2 0TP', '24 Munro Road, Stirling', 'Foundry Loan, Larbert, FK5 4AW', 'Rooftop', '14 The Meadows, Stirling'}",281
9,27,8,19,3,12,12,0,1,"{'Road', 'Atholl Street Dunkeld', 'cafe', 'Telford Gardens PH8 0QA', 'Newtonmore Road Kingussie', 'shopping mall', 'Park Road Ballachulish PH49 4JS', 'Lundy Gardens Fort William', 'university', 'Phoines Estate', '1 Leonard Street Perth', '51 Grampian Court', 'Saint', 'Perth', 'of', 'Newtonmore', 'Errichel Aberfeldy', 'job', 'Ferntower Road Crieff PH7 3LQ', 'school', 'Phoines Estate Newtonmore', 'summer camp', 'Balmoral Road Blairgowrie', 'Muirhall Road Perth PH2 7BH', 'sports club', 'playground', 'arcade', '10 12 Southlands Road Auchterarder', 'library', 'Edinburgh Road Perth'}","{'Balmoral Road', 'Ballachulish', 'PH3 1BB', 'PH8 0QA', 'Phoines Estate', 'PH8 0BJ', 'juvenile center', 'Newtonmore', 'Muirhall Road', '1 Leonard Street', 'Aberfeldy', 'PH21 1HE', 'PH2 7BH', 'Park Road', 'Telford Gardens', '36 & 38 Sydney Crescent', '10 & 12 Southlands Road', 'Errichel', 'PH49 4JS', 'home', 'Edinburgh Road', 'arcade', 'Lundy Gardens', 'part-time job', 'university event', 'science workshop', 'Crieff', 'PH7 3LQ', 'Blairgowrie', 'Atholl Street', 'local sports club', 'Strathview Gardens', 'shopping mall', 'Fort William', 'Auchterarder', 'Newtonmore Road', 'Perth', '51 Grampian Court', 'Pitlochry', 'local market', 'Birnam', 'school', 'Kingussie', 'local casino', ""Saint Mary's Road"", 'Craigieknowes Road', 'casino', 'summer camp', 'airport', 'Dunkeld', 'Ferntower Road', 'local library'}",283
