,potential_positive,positive,partial,missing,insert_all,insert_but_in_text,insert_hallucination,try_count,truth_set,summ_set,misperid
0,5,0,5,2,1,1,0,1,"{'Carmelite Street Banff', 'extracurricular activities', '10 Garden Wood Inchmarlo', 'Road', '14 East Park Inchmarlo', 'Home', 'Seafield Circle Buckie'}","{'Inchmarlo Road, Banchory', 'Carmelite Street, Banff', 'Seafield Circle, Buckie', 'Craigour Road, Torphins', '10 Garden Wood, Inchmarlo', '14 East Park, Inchmarlo', 'cemetery'}",42
1,10,1,9,16,1,1,0,1,"{'Newtonmore PH20', 'university', 'Balmoral Road Blairgowrie', 'cafe', 'North Bank Dykes Errol', 'extracurricular activities', 'Murrayshall Perth PH2 7PL', 'Park', 'Phoines Estate Newtonmore PH20 1BE', 'Inver Dunkeld PH8 0JR', 'Road', '83 Burnside Avenue', '6 Seggieden Place St Madoes', 'Moray Street Blackford', 'Park Road Ballachulish', 'Perth', '4 Moncur Road Inchture PH14 9QA', '27 Barossa Place Perth', 'Phoines Estate Newtonmore', 'dance studio', 'playground', '6 Seggieden Place', 'Balavil Brae Newtonmore', 'job', 'St', 'volunteer'}","{'', 'Balmoral Road, Blairgowrie', 'Seggieden Place, St Madoes', 'Balmoral Road', 'Park Road, Ballachulish', 'Moray Street, Blackford', 'Ruthven Road', '6 Seggieden Place', '6 Seggieden Place, St Madoes'}",51
2,3,1,2,3,1,1,0,1,"{'1', '1 Customhouse Way PA15 1EG', 'job', '1 Customhouse Way', 'Home', 'Larkfield Road Inverclyde PA16 0XN'}","{'Edward Street 1 CB30SZ', '', '1 Customhouse Way'}",157
3,19,4,15,3,10,10,0,1,"{'Caledonian Road', 'Balmoral Road Blairgowrie', 'Caledonian Road Perth', 'PH1', 'The', 'Road', '10 The Stables Perth PH1 2TW', 'Home', 'pharmacy', 'Balmoral Road', 'retirement community', 'Whitefriars Street Perth', 'Perth', '27 Barossa Place', '27 Barossa Place Perth', 'Caledonian Road Perth PH1 5XD', 'Errichel Aberfeldy', 'Perth PH1', 'park', '200 Dunkeld Road', 'office', '27 Barossa Place Perth PH1 5HH'}","{'Lundy Gardens, Fort William, PH33 6PD', 'coastal area', 'dock near 200 Dunkeld Road', '22-24 Whitefriars Street, Perth', 'Balmoral Road in Blairgowrie', 'Caledonian Road, Perth, PH1 5XD', '51 Grampian Court', 'dock near the retirement community', 'dockyard', 'orchard surrounding Errichel, Aberfeldy', 'dock/marina', 'park', 'alleyway connecting the area', 'orchard', 'Balmoral Road, Blairgowrie', 'Caledonian Road', 'Edinburgh Road', 'Edinburgh Road, Perth', 'Lundy Gardens in Fort William', 'Caledonian Road, Perth', '27 Barossa Place, Perth', '37-39 York Place', 'alleyway', 'orchard in the vicinity of Balmoral Road, Blairgowrie', 'Balmoral Road', '27 Barossa Place', '10 The Stables, Perth, PH1 2TW', ""vicinity of his grandfather Ricky Williams' retirement community"", 'Grampian Court in Perth', 'Lundy Gardens, Fort William', 'marina', 'dock near Balmoral Road, Blairgowrie'}",190
4,21,2,19,7,5,5,0,1,"{'33 Blackness', '38 Forrestal Street', 'Glamis Road Dundee', '33 Blackness Avenue', 'college', '6 Lownie Road Forfar', '484 Perth Road Dundee', 'Derwent Avenue Dundee', '33 Blackness Avenue Dundee', 'volunteer organization', 'Road', '39 Arthurstone Terrace', 'Dundee', '11 Panmure Terrace Dundee DD5 2QL', 'Findcastle Street Dundee', 'movie theater', 'fast food restaurant', '19 Dalgleish Street Tayport', 'youth center', 'Glamis Road Dundee DD2 2UB', 'Road Dundee', 'Road Dundee DD2', '1', 'dance studio', 'Avenue', 'skate park', 'St', 'volunteer'}","{'28 Railton Gardens, Arbroath', '33 Blackness Ave', 'Perth Road, Dundee', '19 Dalgleish Street, Tayport', ""St Mary's Lane, Newport-on-Tay"", '6 Lownie Road, Forfar', '33 Blackness Avenue, Dundee', '39 Arthurstone Terrace', '22 Marine Parade Walk', 'Glamis Road, Dundee', 'Forfar', 'DD6 8AH', '11 Panmure Terrace, Dundee', 'mine', 'Derwent Avenue, Dundee', 'school', '484 Perth Road, Dundee', '38 Forrestal Street, Brechin', 'DD2 2UB', 'Edward Street 1 CB30SZ', 'Turnberry Avenue, Dundee', 'Findcastle Street, Dundee', 'youth center', 'Strathmore Avenue, Dundee'}",212
5,23,6,17,2,9,9,0,1,"{'Kirsty Semple Way Dundee', 'East School Road Dundee', 'Discovery Quay', 'Street', 'Road Forfar', 'nursing home', '2 Alex King Way Arbroath', 'church', '16 Cleghorn Street Dundee', 'home', 'Road', 'King', '1 Pitfour Street Dundee', 'Dundee', 'Findcastle Street Dundee', 'Tayside Street Carnoustie', '41 Dock Street', 'Dalgleish', '541 South Road', 'regular walking route', 'adult day care', '12 South Esk Road Forfar', 'Avenue', 'Street Dundee', 'community center'}","{'31 Step Row, Dundee', '16 Cleghorn Street, Dundee', 'church', '2 Alex King Way, Arbroath', 'school bus stop', 'Dalgleish Road', 'river', '41 Dock Street', '296A Strathmore Avenue', '1 Pitfour Street, Dundee', 'safe house', 'East School Road, Dundee', '2 Dalgleish Road, Dundee', 'marina facilities', 'Tayside Street, Carnoustie', ""King's Cross Road"", '12 South Esk Road, Forfar', 'community center', 'derelict boat', 'neighborhood', 'Discovery Quay', 'nursing home', 'residence', 'Lothian Crescent', 'boating incident', 'Kirsty Semple Way, Dundee', 'abandoned building', '31 Church Road, Dundee', 'Findcastle Street, Dundee', 'Auldbar Road, Forfar', '541 South Road'}",253
6,23,5,18,11,1,1,0,1,"{'101 Kinchurdy Road Boat of Garten', 'Caledonian Road Perth', 'house', 'The', 'Muirhall Road', 'Muirhall Road Perth', 'Argyll Road Perth', 'volunteer organization', 'Glenfinnan Pier Road', '51 Grampian Court Perth', 'fast food restaurant', 'Southlands Road', 'Atholl Road Pitlochry', 'North Bank Dykes Errol PH2 7QQ', 'Broxden Avenue Perth', 'playground', 'job', 'Glenearn Road Perth PH2 0NJ', 'Murrayshall', '53 Cultybraggan Camp', 'cafe', 'school', 'Road', 'program', '60 South William Street Perth PH2 8LS', '60 South William Street Perth', 'Park Road Ballachulish', 'Perth', 'York Place Perth PH2 8EH', 'arcade', 'dance studio', 'Perth PH2', 'Phoines Estate Newtonmore', 'Errichel Aberfeldy PH15 2EL'}","{'Atholl Road, Pitlochry', 'Phoines Estate, Newtonmore', '51 Grampian Court, Perth', 'Glenfinnan Pier Road', 'Argyll Road, Perth', 'Dundurn Walk', 'Southlands Road', 'Muirhall Road, Perth', 'Park Road, Ballachulish', 'Murrayshall', '53 Cultybraggan Camp', 'North Bank Dykes, Errol, PH2 7QQ', '101 Kinchurdy Road, Boat of Garten', 'Caledonian Road, Perth', 'school', 'Broxden Avenue, Perth', 'Balavil Brae, Newtonmore', 'South William Street, Perth', '60 South William Street, Perth', 'Glenearn Road, Perth', '37-39 York Place, Perth, PH2 8EH'}",266
7,34,0,34,8,8,7,1,1,"{'Haypark Road Denny', '1 Goosecroft Road Stirling', '4 Brown Street FK1 4QF', 'Kirk Entry', 'Street', 'Park Avenue', 'Greenside Street', 'church', '17 Whitehouse Road Stirling FK7 7XX', 'The', 'Greenside Street Alloa', '14 The Meadows Stirling FK9 5AE', 'Greenside Street Alloa FK10 1EB', 'Haypark Road Denny FK6 5JZ', 'Kemper Avenue', 'Dumbarton Road', 'park', 'Avenue', 'Stirling', 'Kemper Avenue Falkirk FK1 1UF', '4', 'neighborhood', '17 Whitehouse Road', 'Falkirk', 'assisted living facility', 'school events', 'Kemper Avenue Falkirk', 'neighborhood cafe', 'school', 'Road', '1 Goosecroft Road', 'Kirk', '14 The Meadows Stirling', 'Road Stirling', 'Dumbarton Road FK8 2QL', 'pharmacy', '1 Goosecroft Road Stirling FK8 1JA', '1', 'adult day care', '4 Brown Street', 'FK1', 'Park Avenue FK2 9LG'}","{'mountain', 'bus stop', 'Dumbarton Road, FK8 2QL', 'bus cabin', '14 The Meadows, Stirling', '1 Goosecroft Road, Stirling, FK8 1JA', 'Kemper Avenue, Falkirk', 'The Meadows, Stirling', 'Haypark Road, Denny', ""Kirk Entry Bo'ness Road, Falkirk, FK2 0QS"", 'Burnbank Road, Falkirk, FK2 7PE', 'cabin, bus, ferry', ""130 Bo'ness Road, Grangemouth, FK3 9BX"", 'Greenside Street, Alloa, FK10 1EB', '17 Whitehouse Road, Stirling, FK7 7XX', '4 Brown Street, FK1 4QF', 'ferry', 'cabin', 'Park Avenue, FK2 9LG', 'West Bridge Street, Falkirk', 'Edward Street 1 CB30SZ', 'mountain to ferry', 'Craigs Terrace, Rumford'}",270
8,13,0,13,5,0,0,0,1,"{'Nicolton Avenue FK2 0TP', 'bingo hall', 'Bruce Street Alloa FK10 1RX', 'Foundry Loan Larbert', '12 Fountain Road Bridge of Allan FK9 4ET', 'The', 'Bridge of', '24 Munro Road Stirling', 'dialysis center', 'Road', '14 The Meadows Stirling', 'Home', '88 High Station Road Falkirk FK1 5QX', 'pharmacy', 'Foundry Loan Larbert FK5 4AW', '88 High Station Road Falkirk', 'regular walking route', '12 Fountain Road Bridge of Allan'}","{'24 Munro Road, Stirling', 'Nicolton Avenue, FK2 0TP', 'Foundry Loan, Larbert, FK5 4AW', '88 High Station Road, Falkirk', '14 The Meadows, Stirling', 'The Meadows, Stirling', 'Slamannan Road, Falkirk', '88 High Station Road, Falkirk, FK1 5QX', 'Rooftop of a nearby building', '12 Fountain Road, Bridge of Allan', '25 Slamannan Road, Falkirk', 'Bruce Street, Alloa, FK10 1RX', 'Foundry Loan, Larbert', 'Munro Road, Stirling', 'Park Avenue, FK2 9LG', 'West Bridge Street, Falkirk, FK1 5AP', 'High Station Road, Falkirk', 'Simpson Avenue', '12 Fountain Road, Bridge of Allan, FK9 4ET'}",281
9,26,9,17,4,14,14,0,1,"{'shopping mall', 'university', 'Ferntower Road Crieff PH7 3LQ', 'Balmoral Road Blairgowrie', 'cafe', 'Telford Gardens PH8 0QA', 'school', 'Newtonmore', 'Atholl Street Dunkeld', 'Road', 'Edinburgh Road Perth', '51 Grampian Court', 'Muirhall Road Perth PH2 7BH', 'Newtonmore Road Kingussie', 'of', '1 Leonard Street Perth', '10 12 Southlands Road Auchterarder', 'Perth', 'Phoines Estate', 'summer camp', 'Errichel Aberfeldy', 'arcade', 'Lundy Gardens Fort William', 'playground', 'Park Road Ballachulish PH49 4JS', 'sports club', 'job', 'library', 'Phoines Estate Newtonmore', 'Saint'}","{'shopping mall', 'Strathview Gardens', 'airport', 'Craigieknowes Road', 'home', 'Aberfeldy', 'juvenile center', 'Muirhall Road', 'Newtonmore', 'bus', 'Dunkeld', '51 Grampian Court', 'PH7 3LQ', ""Saint Mary's Road"", '36 & 38 Sydney Crescent', 'Southlands Road', '1 Leonard Street', 'Phoines Estate', 'Kingussie', 'summer camp', 'Ferntower Road', 'Blairgowrie', 'Atholl Street', 'local sports club', 'university event', 'Crieff', 'airports', 'PH2 7BH', 'local market', 'casino', 'Edinburgh Road', 'Ballachulish', 'large buildings', 'Errichel', 'Birnam', 'school', 'Pitlochry', 'Lundy Gardens', 'PH8 0QA', 'Telford Gardens', 'Auchterarder', 'PH8 0BJ', 'Balmoral Road', 'PH3 1BB', 'Perth', 'local casino', 'PH49 4JS', 'PH21 1HE', 'Newtonmore Road', 'arcade', 'Fort William', 'library', 'Park Road'}",283
