,potential_positive,positive,partial,missing,insert_all,insert_but_in_text,insert_hallucination,try_count,truth_set,summ_set,misperid
0,4,0,4,1,0,0,0,1,"{'Peter', 'Ross Whitehead', 'Kate Connolly', 'Georgina Yates', 'friend'}","{'Peter Yates friend', 'Kate Connolly self', 'Georgina Yates friend'}",42
1,19,5,14,2,0,0,0,1,"{'friend Joe Bolton', 'Allan Powell', 'Christine White', 'Sam', 'Jean Hodgson', 'Dorothy Turner', 'Mandy Farmer', 'Carole Brown', 'friend', 'Joan', 'colleague Maureen Turner', 'Kate Johnson', 'Charlotte Saunders', 'Hall', 'foster', 'colleague Susan Hall', 'Joshua Coates', 'colleague', 'foster father', 'foster mother', 'Dale Bell'}","{'Susan Hall colleague', 'Dale Bell friend', 'Kate Johnson friend', 'foster father father', 'Joan family member', 'Maureen Turner colleague', 'Christine White friend', 'Sam friend', 'Charlotte Saunders self', 'Mandy Farmer foster mother', 'Carole Brown friend', 'Joshua Coates friend', 'friend friend', 'Joe Bolton friend', 'Carole Brown acquaintance'}",51
2,3,3,0,2,1,0,1,1,"{'Karen Smith', 'friend', 'Craig Bishop colleague', 'Natasha Hicks', 'friend Mark Murphy'}","{'Natasha Hicks other', 'friend other', 'Mark Murphy friend', 'family member other', 'Mark Murphy other'}",157
3,9,2,7,2,3,0,3,2,"{'brother', 'Louis', 'grandfather', 'Sara Wood grandmother', 'Katy Hunt', 'colleague', 'friend Katie Perry', 'grandmother', 'Nicola Morgan', 'Mohammad Arnold', 'Ricky Williams'}","{'brother 57383', 'grandson Louis', 'friend Katy Hunt', 'grandfather Ricky Williams', 'brother 92378', 'brother 51085', 'brother 94098', 'brother 16241', 'grandmother Sara Wood', 'neighbor unknown', 'friend Katie Perry', 'brother 26607', 'stranger unknown', 'other unknown', 'brother 71364', 'brother 36268', 'brother 5515', 'grandmother Nicola Morgan', 'brother 78318'}",190
4,7,0,7,0,0,0,0,1,"{'Abigail Bennett', 'Denis Jones', 'Hall', 'uncle', 'Amelia Hall', 'John Blake', 'Elaine Hall'}","{'Amelia Hall aunt', 'John Blake uncle', 'Abigail Bennett family member', 'Denis Jones uncle'}",212
5,9,3,6,0,1,0,1,1,"{'Joseph', 'brother', 'daughter', 'Mark White', 'son', 'Stewart Hammond', 'friend', 'Tracey Parkinson', 'Jean Hammond'}","{'Jean Hammond family', 'son son', 'Joseph brother', 'brother brother', 'Mark White friend', 'Tracey Parkinson daughter', 'friend friend', 'neighbor neighbor'}",253
6,5,2,3,13,0,0,0,1,"{'father Rhys Farmer', 'Douglas', 'Farmer', 'friend', 'colleague Tony Flynn', 'uncle Howard Farmer', 'friend Nicole Howard', 'Tracy Smith', 'Hall', 'Denis Ward', 'Duncan', 'Charles Sanders', 'friend Charlie Hart', 'grandfather', 'Kelly Farmer', 'colleague', 'uncle', 'Katie Richards'}","{'grandfather visited', 'grandfather grandfather', 'Nicole Howard friend', 'friend visited'}",266
7,17,2,15,2,0,0,0,1,"{'Annette Thornton', 'Zoe West', 'grandfather Mohamed Ellis', 'grandmother', 'Roger', 'Sarah Powell', 'friend', 'Dean Goodwin', 'Janet Robson', 'Denise Foster', 'Rosie Newton', 'brother', 'Guy Smith', 'grandfather', 'colleague', 'Maureen Thornton', 'Hilary Spencer', 'brother Nathan Carroll', 'grandfather Mark Jenkins'}","{'Janet Robson acquaintance', 'Denis Foster friend', 'Nathan Carroll brother', 'Grandmother 101597', 'Grandmother 88765', 'Grandmother 101592', 'Grandmother 101596', 'Hilary Spencer colleague', 'Zoe West colleague', 'Grandmother 7278', 'Rosie Newton friend', 'Grandmother 65064', 'Grandmother 50560', 'Maureen Thornton sister', 'Guy Smith colleague', 'Dean Goodwin friend', 'Mark Jenkins grandfather', 'Grandmother 26229', 'Grandmother 73865', 'Grandmother 8932', 'Grandmother 7693', 'Grandmother 101587', 'Grandmother 79448'}",270
8,5,4,1,5,3,0,3,1,"{'grandfather', 'Jane Black', 'grandmother Kelly Khan', 'colleague', 'Frederick Knight', 'grandmother', 'friend', 'Damien Stephens', 'Joseph Walsh', 'sister'}","{'neighbor other', 'Kelly Khan grandmother', 'sister other', 'friend other', 'roommate other', 'spouse other', 'grandmother other', 'Joseph Walsh friend'}",281
9,7,1,6,2,0,0,0,1,"{'Victor Roberts', 'colleague Janice Wilkinson', 'Joan Baker', 'Kelly Jackson', 'colleague', 'foster father', 'Eric', 'friend', 'Albert Moore'}","{'Kelly Jackson friend', 'Albert Moore friend', 'Joan Baker friend', 'foster father family', 'Janice Wilkinson friend', 'friend friend', 'Victor Roberts self'}",283
