68771,"North Street, Glenrothes","Urban/Area with High Foot Traffic","Full scale search in gorge area, found safe and well","Isolation Seeking"
79047,"35 Fowler Street, Cellardyke","Rural/Residential Area","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
79047,"32 Hamilton Place, Rosyth","Urban/Area with High Foot Traffic","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
79047,"1 Canmore Street, Kinghorn","Urban/Area with High Foot Traffic","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
79047,"35 Fowler Street, Cellardyke","Rural/Residential Area","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
79047,"32 Hamilton Place, Rosyth","Urban/Area with High Foot Traffic","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
79047,"1 Canmore Street, Kinghorn","Urban/Area with High Foot Traffic","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
79047,"35 Fowler Street, Cellardyke","Rural/Residential Area","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
79047,"32 Hamilton Place, Rosyth","Urban/Area with High Foot Traffic","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
79047,"1 Canmore Street, Kinghorn","Urban/Area with High Foot Traffic","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
79047,"35 Fowler Street, Cellardyke","Rural/Residential Area","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
79047,"32 Hamilton Place, Rosyth","Urban/Area with High Foot Traffic","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
79047,"1 Canmore Street, Kinghorn","Urban/Area with High Foot Traffic","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
79047,"35 Fowler Street, Cellardyke","Rural/Residential Area","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
79047,"32 Hamilton Place, Rosyth","Urban/Area with High Foot Traffic","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
79047,"1 Canmore Street, Kinghorn","Urban/Area with High Foot Traffic","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
79047,"35 Fowler Street, Cellardyke","Rural/Residential Area","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
79047,"32 Hamilton Place, Rosyth","Urban/Area with High Foot Traffic","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
79047,"1 Canmore Street, Kinghorn","Urban/Area with High Foot Traffic","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
79047,"35 Fowler Street, Cellardyke","Rural/Residential Area","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
79047,"32 Hamilton Place, Rosyth","Urban/Area with High Foot Traffic","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
79047,"1 Canmore Street, Kinghorn","Urban/Area with High Foot Traffic","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
79047,"35 Fowler Street, Cellardyke","Rural/Residential Area","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
79047,"32 Hamilton Place, Rosyth","Urban/Area with High Foot Traffic","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
79047,"1 Canmore Street, Kinghorn","Urban/Area with High Foot Traffic","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
79047,"35 Fowler Street, Cellardyke","Rural/Residential Area","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
79047,"32 Hamilton Place, Rosyth","Urban/Area with High Foot Traffic","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
79047,"1 Canmore Street, Kinghorn","Urban/Area with High Foot Traffic","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
79047,"35 Fowler Street, Cellardyke","Rural/Residential Area","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
79047,"32 Hamilton Place, Rosyth","Urban/Area with High Foot Traffic","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
79047,"1 Canmore Street, Kinghorn","Urban/Area with High Foot Traffic","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
79047,"35 Fowler Street, Cellardyke","Rural/Residential Area","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
79047,"32 Hamilton Place, Rosyth","Urban/Area with High Foot Traffic","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
79047,"1 Canmore Street, Kinghorn","Urban/Area with High Foot Traffic","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
79047,"35 Fowler Street, Cellardyke","Rural/Residential Area","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
79047,"32 Hamilton Place, Rosyth","Urban/Area with High Foot Traffic","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
79047,"1 Canmore Street, Kinghorn","Urban/Area with High Foot Traffic","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
