54641,"4 Brown Street, FK1 4QF","Residential/Home","Concern was raised when she failed to return home to 4 Brown Street, FK1 4QF","Impulsive/Crisis Location"
4307,"43 Union Road","Residential/Home","Discovered days later, safe, by Clive Harrison","Impulsive/Crisis Location"
45014,"14 The Meadows, Stirling, FK9 5AE","Residential/Home","Her colleague reported seeing her near 14 The Meadows, Stirling, FK9 5AE afterwards","Impulsive/Crisis Location"
45014,"Greenside Street, Alloa, FK10 1EB","Residential/Home","They planned a trip to a hiking trail near Greenside Street, Alloa, FK10 1EB","Impulsive/Crisis Location"
65905,"Kirk Entry Bo'ness Road, Falkirk","Residential/Home","Chloe was last seen at home on Kirk Entry Bo'ness Road, Falkirk","Impulsive/Crisis Location"
3538,"Glensburgh Road, FK3 8XJ","Residential/Home","Chloe Howard, known for leaving creative works behind, was last seen acting erratically near Glensburgh Road, FK3 8XJ","Impulsive/Crisis Location"
35432,"Kirk Entry Bo'ness Road, Falkirk","Residential/Home","Chloe was reported missing from Kirk Entry Bo'ness Road, Falkirk","Impulsive/Crisis Location"
35432,"1 Burnbank Road, Falkirk","Residential/Home","Police tracked her down safely to Well Place, Dunblane, after an exhaustive search, concluding the high-risk status effectively","Impulsive/Crisis Location"
1425,"Kirk Entry Bo'ness Road, Falkirk","Residential/Home","Chloe Howard, a 77-year-old retired therapeutic radiographer, was last seen leaving her home on Kirk Entry Bo'ness Road in Falkirk","Impulsive/Crisis Location"
1425,"Foundry Loan in Larbert","Residential/Home","She appeared safe, albeit disoriented from her time missing","Impulsive/Crisis Location"
62410,"25 Slamannan Road, Falkirk","Residential/Home","Chloe Howard, on a pilgrimage, was last seen leaving 25 Slamannan Road, Falkirk","Impulsive/Crisis Location"
2354,"35 Kerse Road, Grangemouth","Residential/Home","Chloe Howard vanished after attending a protest at 35 Kerse Road, Grangemouth","Impulsive/Crisis Location"
18612,"Kirk Entry Bo'ness Road, Falkirk","Residential/Home","Chloe was last seen leaving her home at Kirk Entry Bo'ness Road, Falkirk, with plans to visit a nearby grocery store for routine errands","Impulsive/Crisis Location"
18612,"Dunhalin, Rumford, FK2 0SE","Residential/Home","This secluded area may have attracted her due to a need for solace","Impulsive/Crisis Location"
5132,"Earl's Road, Grangemouth","Residential/Home","Chloe Howard, last seen at a concert venue on Earl's Road, Grangemouth, was reported missing after attending an event linked to an organized protest","Impulsive/Crisis Location"
60186,"Kirk Entry Bo'ness Road, Falkirk","Residential/Home","Chloe Howard went missing from her home, leaving behind several of her paintings","Impulsive/Crisis Location"
60186,"Greenside Street, Alloa, FK10 1EB","Residential/Home","Chloe was eventually found in a barn near Greenside Street, Alloa, FK10 1EB, in good health, after a tip-off from a colleague who encountered her at a medical clinic","Impulsive/Crisis Location"
11076,"Kirk Entry Bo'ness Road, Falkirk","Residential/Home","Chloe Howard, a 78-year-old retired therapeutic radiographer, was reported missing from her home on Kirk Entry Bo'ness Road, Falkirk","Impulsive/Crisis Location"
11076,"1 Goosecroft Road, Stirling","Residential/Home","After an extensive search, she was finally located at 1 Goosecroft Road, Stirling","Impulsive/Crisis Location"
78888,"Kirk Entry Bo'ness Road, Falkirk","Residential/Home","Chloe Howard, a 78-year-old woman, was reported missing after attending a concert at a local venue with her brother","Impulsive/Crisis Location"
78888,"Dunblane","Residential/Home","She was eventually traced to an assisted living facility in Dunblane, where she had been staying, as part of a personal reflection journey connected to her pilgrimage","Impulsive/Crisis Location"
34717,"Blackston Road, Avonbridge","Residential/Home","Chloe Howard was last seen by her brother near the river by Blackston Road, Avonbridge","Impulsive/Crisis Location"
34717,"Glensburgh Road, FK3 8XJ","Residential/Home","Known to act erratically, she left creative works behind amid a religious pilgrimage","Impulsive/Crisis Location"
57719,"West Murrayfield, Stirling","Residential/Home","Chloe Howard was last seen on a hiking trail near West Murrayfield, Stirling, leaving creative works behind amid financial difficulties","Impulsive/Crisis Location"
7761,"Kirk Entry Bo'ness Road, Falkirk","Residential/Home","Chloe Howard, a 78-year-old woman from Kirk Entry Bo'ness Road, Falkirk, was reported missing after embarking on a solitary religious pilgrimage","Impulsive/Crisis Location"
7761,"Greenside Street, Alloa","Residential/Home","Chloe was eventually found by police unharmed but disoriented at West Lodge Gardens, Alloa","Impulsive/Crisis Location"
64385,"25 Slamannan Road","Residential/Home","Chloe Howard was missing after leaving creative works at a barn near 25 Slamannan Road","Impulsive/Crisis Location"
1676,"Kenilworth Drive, FK2 9LH","Residential/Home","Chloe Howard, who had been acting erratically due to financial difficulties, was last seen leaving her home near Kenilworth Drive, FK2 9LH, heading towards the river","Impulsive/Crisis Location"
13790,"1 Goosecroft Road, Stirling","Residential/Home","Chloe Howard, a 78-year-old with a known love for artistic expression, was last seen near 1 Goosecroft Road, Stirling","Impulsive/Crisis Location"
13790,"43 Union Road","Residential/Home","Reports indicate she was also fond of taking reflective walks along local hiking trails, which led her family to search the areas surrounding 43 Union Road","Impulsive/Crisis Location"
91341,"Kirk Entry Bo'ness Road, Falkirk","Residential/Home","Chloe Howard, a 78-year-old retired therapeutic radiographer from Belfast, was reported missing from her home at Kirk Entry Bo'ness Road, Falkirk","Impulsive/Crisis Location"
91341,"West Murrayfield, Stirling","Residential/Home","After several days, Chloe was eventually traced by police at West Murrayfield, Stirling","Impulsive/Crisis Location"
32263,"43 Union Road","Residential/Home","Chloe Howard was last seen by her friend Duncan Jones near a barn close to 43 Union Road, FK1 4PG","Impulsive/Crisis Location"
32263,"14 The Meadows, Stirling, FK9 5AE","Residential/Home","Witnesses recall seeing her heading toward a nearby religious site","Impulsive/Crisis Location"
40542,"Kirk Entry Bo'ness Road, Falkirk","Residential/Home","Chloe Howard, a 79-year-old retired therapeutic radiographer, was reported missing from her home on Kirk Entry Bo'ness Road, Falkirk","Impulsive/Crisis Location"
40542,"1 Burnbank Road, Falkirk","Residential/Home","After an extensive search, police traced Chloe to an address on 1 Burnbank Road, Falkirk","Impulsive/Crisis Location"
75940,"Kirk Entry Bo'ness Road, Falkirk","Residential/Home","Chloe Howard, a 79-year-old retired therapeutic radiographer, was involved in organized protests concerning local issues near a religious site in Denny","Impulsive/Crisis Location"
75940,"Haypark Road","Residential/Home","Witnesses mentioned seeing Chloe walking along the riverbank nearby, which was a favored protest route","Impulsive/Crisis Location"
