Amanda Cox, foster mother, mother, 90144
Amanda Cox, Frank, friend, 90144
Amanda Cox, foster mother, mother, 18670
Amanda Cox, friend, friend, 18670
Amanda Cox, foster mother, mother, 11581
Amanda Cox, Kimberley Walsh, friend, 11581
Amanda Cox, foster mother, mother, 54630
Amanda Cox, Helen Atkins, colleague, 54630
Amanda Cox, colleague, friend, 44346
Amanda Cox, friend, friend, 44346
Amanda Cox, foster mother, mother, 53012
Amanda Cox, friend, friend, 53012
Amanda Cox, foster mother, mother, 45630
Amanda Cox, friend, friend, 45630
Amanda Cox, foster mother, mother, 24743
Amanda Cox, Frank, friend, 24743
Amanda Cox, Frank, friend, 24743
Amanda Cox, Samuel Bailey, colleague, 24743
Amanda Cox, Leigh, friend, 86613
Amanda Cox, Victor Owen, friend, 86613
Amanda Cox, foster mother, mother, 45906
Amanda Cox, colleague, friend, 45906
Amanda Cox, foster mother, mother, 101485
Amanda Cox, foster mother, mother, 101486
Amanda Cox, Kimberley Walsh, friend, 101486
Amanda Cox, Brandon Watson, friend, 101486
Amanda Cox, Jill Cooper, friend, 101492
