22268,"33 Spittal Street, FK8 1DU","Education/Classroom","Full scale search in gorge area, found safe and well","Isolation Seeking"
7031,"1 Burnbank Road, Falkirk","Residential/Street","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
44148,"1 Burnbank Road, Falkirk","Residential/Street","Full scale search in gorge area, found safe and well","Isolation Seeking"
45110,"Bruce Street, Alloa, FK10 1RX","Residential/Street","Full scale search in gorge area, found safe and well","Isolation Seeking"
29090,"Kemper Avenue, Falkirk","Commercial/Dentist Office","Full scale search in gorge area, found safe and well","Isolation Seeking"
36204,"17 Whitehouse Road, Stirling","Residential/Street","Full scale search in gorge area, found safe and well","Isolation Seeking"
15447,"1 Burnbank Road, Falkirk","Residential/Street","Full scale search in gorge area, found safe and well","Isolation Seeking"
48458,"West Bridge Street, Falkirk","Residential/Street","Full scale search in gorge area, found safe and well","Isolation Seeking"
22268,"1 Garrison Place, Falkirk","Residential/Home","Full scale search in gorge area, found safe and well","Safe Haven"
7031,"88 High Station Road, Falkirk","Residential/Home","Full scale search in gorge area, found safe and well","Safe Haven"
44148,"1 Garrison Place, Falkirk","Residential/Home","Full scale search in gorge area, found safe and well","Safe Haven"
45110,"1 Arnothill, Falkirk, FK1 5RY","Residential/Home","Full scale search in gorge area, found safe and well","Safe Haven"
36204,"88 High Station Road, Falkirk","Residential/Home","Full scale search in gorge area, found safe and well","Safe Haven"
15447,"1 Garrison Place, Falkirk","Residential/Home","Full scale search in gorge area, found safe and well","Safe Haven"
48458,"1 Garrison Place, Falkirk","Residential/Home","Full scale search in gorge area, found safe and well","Safe Haven"
7031,"1 Burnbank Road, Falkirk","Residential/Street","Full scale search in gorge area, found safe and well","Impulsive/Crisis Location"
44148,"1 Burnbank Road, Falkirk","Residential/Street","Full scale search in gorge area, found safe and well","Impulsive/Crisis Location"
