41806,"1 Quarrybank","Volunteer Work/Community Center","After an extensive search, Arthur was traced by police at 61 Old Abbey Road, safe and unharmed","Impulsive/Crisis Location"
17690,"Easter Shawfair","Religious Site","His grandfather had visited earlier that day","Isolation Seeking"
3870,"1 St James Square","Religious Site/Volunteer Work","According to his friend, Jennifer, Arthur exhibited personality changes shortly before his disappearance","Impulsive/Crisis Location"
3870,"16 Bernard Terrace","Residential Location","He was eventually found safe by a member of the public","Impulsive/Crisis Location"
25793,"55 Eastfield","Religious Site","The festival and the religious site held significance for him, possibly influencing his decision to linger there","Isolation Seeking"
25793,"69-71 Whitehill Street","Residential Location","As days passed without contact, concerns grew","Impulsive/Crisis Location"
13361,"69 Dirleton Avenue","Residential Location","He was last seen by his sister, Charlotte, near 69 Dirleton Avenue, North Berwick","Impulsive/Crisis Location"
18923,"Mosque","Religious Site","His grandfather noted his absence at prayer","Isolation Seeking"
76024,"1G Bank Street","Residential Location","He informed his sister, Susan Smith, that he intended to visit the medical clinic at 23a Rosebery Avenue","Impulsive/Crisis Location"
76024,"23a Rosebery Avenue","Medical Facility","Arthur, who has a disability, was expected to return home within a few hours but failed to do so","Impulsive/Crisis Location"
76024,"6 Goldeneye Gait","Residential Location","Eventually, police located him at 6 Goldeneye Gait in Edinburgh","Impulsive/Crisis Location"
94906,"24A Orwell Terrace","Residential Location","Known to visit religious sites for solace, Arthur was last seen near 24A Orwell Terrace, Edinburgh","Isolation Seeking"
94906,"61 Old Abbey Road","Religious Site","Although unharmed, he seemed disoriented and was safely escorted home by authorities","Isolation Seeking"
28187,"The Cross","Public Square","Expressing sentiments atypical of his usual demeanor, Arthur left abruptly","Impulsive/Crisis Location"
28187,"2 Highfield Road","Residential Location","When Arthur failed to return home and was unresponsive to calls, his friends grew increasingly worried","Impulsive/Crisis Location"
67560,"1G Bank Street","Residential Location","Concerned for his safety due to his disability, his sister, Susan Smith, quickly reported his absence","Impulsive/Crisis Location"
67560,"6 Goldeneye Gait","Residential Location","After a thorough investigation by the police, Arthur was eventually found safe at 6 Goldeneye Gait, Edinburgh","Impulsive/Crisis Location"
67560,"61 Old Abbey Road","Religious Site","It was reported that he sometimes participated in events at the mosque nearby","Isolation Seeking"
18211,"8 East Mains Holdings","Residential Location","His sister, Hilary Mason, mentioned that Arthur, who had been living in a converted van parked outside 8 East Mains Holdings, Newbridge","Impulsive/Crisis Location"
18211,"5 Almond Avenue","Residential Location","Before his disappearance, Arthur had visited a close friend at 5 Almond Avenue, Edinburgh","Impulsive/Crisis Location"
18211,"6 Goldeneye Gait","Residential Location","He was eventually located by the police at 6 Goldeneye Gait, exhibiting signs of disorientation but otherwise safe","Impulsive/Crisis Location"
84357,"150 Commercial Street","Religious Site","Prior to his disappearance, friends noticed changes in his personality","Isolation Seeking"
84357,"Livingston","Residential Location","Authorities later traced him to a location in Livingston, where he was found safe and sound after several days of search efforts","Impulsive/Crisis Location"
85362,"1a Beech Grove","Residential Location","Traced living in his van at 1a Beech Grove","Impulsive/Crisis Location"
93414,"Wester Millerhill","Religious Site","His sister reported personality changes, and he was living in his converted van nearby","Isolation Seeking"
101961,"Home","Residential Location","left his home confused due to dementia and hasn't been seen since, prompting concern","Impulsive/Crisis Location"
101962,"Unknown","Unknown","showing signs of dementia, went out after a chat with a friend, appearing disoriented","Isolation Seeking"
101963,"Converted Van","Residential Location","faces cognitive challenges due to dementia, making daily life increasingly difficult","Impulsive/Crisis Location"
101966,"Outdoor Festival","Event Location","Arthur went missing after an outdoor festival","Isolation Seeking"
101967,"Religious Site","Religious Site","Arthur was found wandering near a religious site, appearing disoriented due to his dementia, but is now safe and receiving care","Isolation Seeking"
