43790,"Acre Drive, Glasgow","Residential/Home","Following a heated exchange, Jeremy left abruptly, presumably seeking refuge from a domestic violence situation","Domestic Violence Location"
43790,"Balmuildy Road, G64 3HD","Rural/Area","He was later seen near a snow-covered area near Balmuildy Road, G64 3HD","Impulsive/Crisis Location"
43790,"Castlecary Road","Residential/Home","He was eventually located by staff at Castlecary Road, safe but shaken","Safe Location"
76089,"55 Diana Avenue, Glasgow","Residential/Home","His daughter and sister both expressed concern when he failed to arrive and later could not be reached by phone","Domestic Location"
76089,"Balmuildy Road","Rural/Area","Searches began, focusing on nearby snow areas, as it was known that Jeremy enjoyed brisk walks in such settings","Impulsive/Crisis Location"
76089,"Belsyde Avenue, Glasgow","Residential/Home","Six days later, Jeremy was located by police at a different address on Belsyde Avenue in Glasgow","Safe Location"
87361,"55 Diana Avenue, Glasgow","Residential/Home","He was reportedly visiting a relative’s house on Acre Drive, Glasgow, G20 0TR, intending to later go to a religious site","Domestic Location"
87361,"Acre Drive, Glasgow, G20 0TR","Residential/Home","He was reportedly visiting a relative’s house on Acre Drive, Glasgow, G20 0TR, intending to later go to a religious site","Domestic Location"
87361,"Hall Road, Rhu, G84 8RR","Residential/Home","Police later found Jeremy safe at Hall Road, Rhu, G84 8RR, having been confused about his intended route","Safe Location"
93762,"Cardross Road, G82 5DH","Rural/Area","His sister reported him missing after he failed to return home from a walk","Impulsive/Crisis Location"
39761,"55 Diana Avenue, Glasgow","Residential/Home","Jeremy Wright left 55 Diana Avenue, Glasgow, after meeting Tony","Domestic Location"
39761,"Mosque","Place of Worship","He was last seen near the mosque","Religious Location"
50370,"Cardross Road, G82 5DH","Rural/Area","Jeremy Wright was last seen near a river close to Cardross Road, G82 5DH","Impulsive/Crisis Location"
50370,"Fulton Road, G62 8PG","Residential/Home","Gerald Potter, a friend, joined the search near Fulton Road, G62 8PG where Jeremy was known to frequent","Domestic Location"
50370,"Fulton Road, G62 8PG","Residential/Home","Gerald Potter, a friend, joined the search near Fulton Road, G62 8PG where Jeremy was known to frequent","Domestic Location"
98888,"Glasgow","Residential/Home","His daughter and brother raised concerns when he didn't return from a trip to a nearby snow area","Domestic Location"
98888,"Snow Area","Rural/Area","His daughter and brother raised concerns when he didn't return from a trip to a nearby snow area","Impulsive/Crisis Location"
61854,"52a Sinclair Street, Helensburgh","Residential/Home","Jeremy Wright was last seen leaving 52a Sinclair Street, Helensburgh, with friend Matthew Tyler","Domestic Location"
61854,"Castlecary Road","Residential/Home","He was later traced at Castlecary Road","Safe Location"
76547,"Mosque","Place of Worship","Known to have been escaping domestic violence, he stopped briefly at a relative’s house before vanishing without trace","Religious Location"
76547,"Relative’s House","Residential/Home","Known to have been escaping domestic violence, he stopped briefly at a relative’s house before vanishing without trace","Domestic Location"
8454,"Amusement Park","Recreational Facility","He expressed a desire to disappear and was escaping domestic violence","Impulsive/Crisis Location"
8454,"Religious Site","Place of Worship","His friend, Aimee Lees, reported him missing. MP was eventually traced at a religious site by police","Religious Location"
72140,"55 Diana Avenue, Glasgow, G13 3JW","Residential/Home","Jeremy Wright was last seen near a river close to 55 Diana Avenue, Glasgow, G13 3JW","Domestic Location"
72140,"Castlecary Road","Residential/Home","After an investigation, Jeremy was located safe by police on Castlecary Road, disoriented but unharmed, having deviated from his original travel plans","Safe Location"
16079,"55 Diana Avenue, Glasgow","Residential/Home","Jeremy Wright was last seen departing his residence at 55 Diana Avenue, Glasgow, late in the evening, with intentions to pay a visit to his friend Aimee Lees","Domestic Location"
16079,"Bard Avenue, Glasgow","Residential/Home","After several days, he was found by relatives at a friend's place on Bard Avenue, Glasgow, appearing safe and in good spirits, yet reticent about the reasons for his abrupt disappearance","Safe Location"
