1240,"St Andrews","City/Town","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
2361,"Gorge area North East of Balcastle Farm","Rural/Farm Area","Full scale search in gorge area, found safe and well","Isolation Seeking"
46527,"Selvage Place, Rosyth","Residential/Home","Concern arose due to noticeable personality changes before her disappearance, as noted by her close friend, Ann Willis","Isolation Seeking"
46527,"Limekilns Road, Dunfermline","Residential/Home","Hints led them to Limekilns Road, Dunfermline","Isolation Seeking"
46527,"28 Fairykirk Road","Residential/Home","Eventually, Joanna was found safe at 28 Fairykirk Road, traced by police","Isolation Seeking"
50452,"Military base","Military Facility","Soon after, she visited a petting zoo located at 1 Burnside Gardens, Burntisland","Isolation Seeking"
50452,"1 Burnside Gardens, Burntisland","Petting Zoo","Joanna, who didn't make contact with her close friends, was also rumored to have visited an illegal site at 42 Mid Shore, KY10 2NW","Isolation Seeking"
50452,"42 Mid Shore, KY10 2NW","Illegal Site","Her brother, Philip Talbot, became increasingly concerned when she missed their weekly book club meeting without any prior notice","Isolation Seeking"
65788,"16 Albert Street, Rosyth, KY11 2SA","Petting Zoo","On the day she went missing, she was last observed visiting a petting zoo near 16 Albert Street, Rosyth, KY11 2SA","Isolation Seeking"
65788,"97 Backmarch Road, Rosyth, KY11 2RP","Illegal Site","before being spotted at an illegal site rumored to be at 97 Backmarch Road, Rosyth, KY11 2RP","Isolation Seeking"
72011,"28 Castle Street, Crail","Illegal Site","Her brother reported that Joanna had become increasingly secretive, often mentioning her connections with Marian Adams","Isolation Seeking"
72011,"28 Fairykirk Road","Residential/Home","It is speculated that she might have been involved in activities around a military base, raising alarms among those close to her","Isolation Seeking"
83924,"School Lane","Island","She was later found on an island near School Lane, having no contact with close friends","Isolation Seeking"
98938,"30 Selvage Place, Rosyth","Residential/Home","She was reported missing after failing to make contact with her close friends for several days","Isolation Seeking"
98938,"Langlands Road, St Andrews","Residential/Home","Following an extensive search, she was finally traced by police at Langlands Road, St Andrews, safe and sound","Isolation Seeking"
4036,"Castle Road, Rosyth","Residential/Home","Joanna was last seen by David near her home on Castle Road, Rosyth","Isolation Seeking"
4036,"10 Rumford, Crail","Residential/Home","Ultimately, Joanna was traced to 10 Rumford, Crail, by a member of the public, after being missing for several days","Isolation Seeking"
33771,"30 Selvage Place, Rosyth","Residential/Home","Joanna often visited the island near her home, a peaceful retreat she enjoyed","Isolation Seeking"
33771,"41 West Leven Street, Burntisland","Residential/Home","Her friend, along with Joanna's brother, checked various familiar spots, including 41 West Leven Street, Burntisland","Isolation Seeking"
33771,"13 Jutland Street","Residential/Home","and a few addresses in Rosyth, such as 13 Jutland Street","Isolation Seeking"
33771,"Abbey Park Avenue, St Andrews","Residential/Home","After a thorough search, she was eventually located in good health by police at Abbey Park Avenue, St Andrews, safe and unharmed","Isolation Seeking"
100819,"Island","Island","Joanna went missing from an illegal site on the island, last seen by Timothy Jones","Isolation Seeking"
100820,"Island","Island","Joanna found on illegal site island","Isolation Seeking"
100821,"Island","Island","Joanna, an 84-year-old, was observed on a remote island exhibiting a noticeable pattern of no contact with close friends","Isolation Seeking"
100821,"Restricted Military Base","Military Facility","Reports indicate she was found wandering near a restricted military base and a known illegal site, raising concerns about her wellbeing","Isolation Seeking"
100821,"Known Illegal Site","Illegal Site","Reports indicate she was found wandering near a restricted military base and a known illegal site, raising concerns about her wellbeing","Isolation Seeking"
100824,"Military Base","Military Facility","Joanna at the military base shows signs of distress, prompting concern for her wellbeing","Isolation Seeking"
