16809,"Wood Place, Rosyth","Highway/Street","Concern arose when friend Josephine Hamilton could not reach him","Disorientation"
72419,"Carnegie Avenue, Dunfermline","Highway/Street","Concern heightened among his family, particularly his brother Joseph Murphy, when he uncharacteristically deviated from his regular walking route","Disorientation"
72419,"St Margaret's Head, North Queensferry","Highway/Street","It was presumed he might have headed towards St Margaret's Head, North Queensferry, a location he often visited to be near the highway for clear thoughts","Disorientation"
72419,"Aberlour Street, Rosyth","Bingo Hall/Community Center","As days passed, flyers were distributed around places he was known to frequent, such as the bingo hall at 31-37 Aberlour Street, Rosyth, KY11 2SD","Disorientation"
82463,"Lowry Place, Rosyth","Highway/Street","Billy Foster, fearing deportation and seeking solitude, was last seen at a highway near 9 Lowry Place, Rosyth, KY11 2PR","Disorientation"
76000,"West Leven Street, Burntisland","Highway/Street","He often sought solitude and was known to walk along 41 West Leven Street, Burntisland, KY3 9DZ, a neighborhood route leading to a nearby highway","Disorientation"
59100,"Backmarch Crescent, Rosyth","Home/Residence","Billy was known to seek solitude at times, often desiring quiet and private surroundings","Disorientation"
59100,"Dollar Grove, Burntisland","Highway/Street","Searches were conducted around familiar locations, including areas near 7 Dollar Grove in Burntisland, where he occasionally went to the pharmacy","Disorientation"
59100,"Castle Street, Crail","Home/Residence","After an intensive search by concerned parties and staff, Billy was successfully traced to an address at 28 Castle Street, Crail","Disorientation"
10551,"Aberlour Street, Rosyth","Bingo Hall/Community Center","A possible witness, a neighbor, mentioned spotting Billy at 31-37 Aberlour Street, Rosyth, KY11 2SD, a location close to the highway, where a potential crime had recently taken place","Disorientation"
10551,"King's Road, Rosyth","Highway/Street","Days later, a vigilant member of the public traced Billy to King's Road, where he was found, unharmed but disoriented, having unintentionally wandered off his walking path","Disorientation"
86811,"Hillwood Terrace, Rosyth","Home/Residence","Concerned after he didn't return from his grandmother's at 26 Bolam Drive and given his tendency for seeking solitude and wandering, his sister Samantha alerted the police","Disorientation"
64360,"Backmarch Crescent, Rosyth","Home/Residence","His fear of deportation led him to flee. Last seen by a colleague near the highway, he was found at senior housing, 4 Hillwood Terrace, Rosyth","Disorientation"
64360,"Hillwood Terrace, Rosyth","Home/Residence","His sister, Claire, alerted the authorities, who then located him safely","Disorientation"
45928,"Parkside Square, Rosyth","Home/Residence","Meeting friend Lesley Collins at 1 Parkside Square, Rosyth, KY11 2LZ was his last known action","Disorientation"
95777,"Temple, Lower Largo","Pharmacy/Community Center","Billy mentioned wanting to visit a friend in another town, yet upon checking his usual routes, there were no signs of him at the expected locations","Disorientation"
95777,"Canmore Street, Kinghorn","Highway/Street","The investigation led authorities to search places he was known to frequent, including the area around 1 Canmore Street, Kinghorn, but to no avail","Disorientation"
95777,"Newton Crescent, Rosyth","Home/Residence","Eventually, he was located by staff at an address in Rosyth, several miles away","Disorientation"
14670,"Burntisland Road, Kinghorn","Highway/Street","Concerns arose due to his fear of deportation, which might have prompted his sudden disappearance without notifying his brother, Joseph Murphy","Disorientation"
14670,"King's Road, Rosyth","Highway/Street","The combination of frail health and deteriorating weather conditions heightened fears for his safety","Disorientation"
10246,"Backmarch Crescent, Rosyth","Home/Residence","Known for his commitment to volunteer work, Billy had arranged to meet a colleague but never arrived","Disorientation"
10246,"Hillwood Terrace, Rosyth","Home/Residence","Billy had often visited 4 Hillwood Terrace for hobby meetings but was not found there","Disorientation"
10246,"Newton Crescent, Rosyth","Highway/Street","Eventually, after an extensive search, Billy was located safely near the highway close to 53 Newton Crescent, Rosyth","Disorientation"
54003,"Backmarch Crescent, Rosyth","Home/Residence","Billy had been in a heated discussion with a colleague at 43 Findlay Street, Rosyth about his anxieties","Disorientation"
54003,"Nethergate South, Crail","Home/Residence","His disappearance concerned those close to him until he was traced by police at 54 Nethergate South, Crail, unharmed but shaken","Disorientation"
99797,"Backmarch Crescent, Rosyth","Home/Residence","Billy Foster was found safe, attending his grandchild's school event in Crail after his sister reported him missing from Rosyth","Disorientation"
99797,"Crail","School/Community Center","Billy Foster was found safe, attending his grandchild's school event in Crail after his sister reported him missing from Rosyth","Disorientation"
70510,"Cunzie Street, Anstruther","Home/Residence","Billy Foster, who had mental health issues and feared deportation, was found at 28 Cunzie Street, Anstruther","Disorientation"
70510,"Anstruther","Home/Residence","Billy Foster, who had mental health issues and feared deportation, was found at 28 Cunzie Street, Anstruther","Disorientation"
96067,"Backmarch Crescent, Rosyth","Home/Residence","Billy Foster, an 87-year-old retired administrator with disabilities, was last seen leaving his home on Backmarch Crescent, Rosyth","Disorientation"
96067,"Lochies Road, Burntisland","Highway/Street","Concerns heightened due to foul weather and his age, increasing his vulnerability","Disorientation"
96067,"Castle Street, Crail","Home/Residence","Days later, with police efforts, he was traced to a known associate's residence on Castle Street, unharmed but confused about his whereabouts","Disorientation"
55683,"Lowry Place, Rosyth","Highway/Street","Billy Foster, an 88-year-old man from Rosyth, was reported missing after leaving his home early one morning","Disorientation"
55683,"Highway","Highway/Street","Billy Foster, an 88-year-old man from Rosyth, was reported missing after leaving his home early one morning","Disorientation"
55683,"Newton Crescent, Rosyth","Home/Residence","After several days, family members traced him to a small village in Crail. He was found resting in his car, parked quietly behind a row of houses, seemingly disoriented but unharmed","Disorientation"
47249,"Backmarch Crescent, Rosyth","Home/Residence","Billy Foster was last seen leaving his home at 38 Backmarch Crescent, Rosyth, in the middle of the night, raising concerns among his friends and family due to his high-risk status","Disorientation"
47249,"Grange House Gardens, Burntisland","Highway/Street","Search efforts initially focused on nearby highways and locations such as 1 Grange House Gardens, Burntisland, but to no avail","Disorientation"
47249,"Castle Street, Crail","Home/Residence","Ultimately, Billy was traced to 28 Castle Street, Crail, where it appeared he sought refuge with an acquaintance","Disorientation"
25566,"Backmarch Crescent, Rosyth","Home/Residence","Billy Foster went missing from his home at 38 Backmarch Crescent, displaying a pattern of seeking solitude and fearing deportation","Disorientation"
