Peter Baker,Peter's colleagues,friend,57405
Peter Baker,extracurricular program staff,family member,57405
Peter Baker,youth center staff,other,57405
Peter Baker,unknown boy in alleyway,other,57405
Peter Baker,unknown boy's family,other,57405
Peter Baker,unknown boy's roommate,other,57405
Peter Baker,unknown boy's neighbor,other,57405
Peter Baker,unknown boy's friend,other,57405
Peter Baker,unknown boy's acquaintance,other,57405
Peter Baker,unknown boy's classmate,other,57405
Peter Baker,unknown boy's colleague,other,57405
Peter Baker,unknown boy's acquaintance,other,57405
Peter Baker,unknown boy's friend,other,57405
Peter Baker,unknown boy's classmate,other,57405
Peter Baker,unknown boy's colleague,other,57405
Peter Baker,unknown boy's acquaintance,other,57405
Peter Baker,unknown boy's friend,other,57405
Peter Baker,unknown boy's classmate,other,57405
Peter Baker,unknown boy's colleague,other,57405
Peter Baker,unknown boy's acquaintance,other,57405
Peter Baker,unknown boy's friend,other,57405
Peter Baker,unknown boy's classmate,other,57405
Peter Baker,unknown boy's colleague,other,57405
Peter Baker,unknown boy's acquaintance,other,57405
Peter Baker,unknown boy's friend,other,57405
Peter Baker,unknown boy's classmate,other,57405
Peter Baker,unknown boy's colleague,other,57405
Peter Baker,unknown boy's acquaintance,other,57405
Peter Baker,unknown boy's friend,other,57405
Peter Baker,unknown boy's classmate,other,57405
Peter Baker,unknown boy's colleague,other,57405
Peter Baker,unknown boy's acquaintance,other,57405
Peter Baker,unknown boy's friend,other,57405
Peter Baker,unknown boy's classmate,other,57405
Peter Baker,unknown boy's colleague,other,57405
Peter Baker,unknown boy's acquaintance,other,57405
Peter Baker,unknown boy's friend,other,57405
Peter Baker,unknown boy's classmate,other,57405
Peter Baker,unknown boy's colleague,other,57405
Peter Baker,unknown boy's acquaintance,other,57405
Peter Baker,unknown boy's friend,other,57405
Peter Baker,unknown boy's classmate,other,57405
Peter Baker,unknown boy's colleague,other,57405
Peter Baker,unknown boy's acquaintance,other,57405
Peter Baker,unknown boy's friend,other,57405
Peter Baker,unknown boy's classmate,other,57405
Peter Baker,unknown boy's colleague,other,57405
Peter Baker,unknown boy's acquaintance,other,57405
Peter Baker,unknown boy's friend,other,57405
Peter Baker,unknown boy's classmate,other,57405
Peter Baker,unknown boy's colleague,other,57405
Peter Baker,unknown boy's acquaintance,other,57405
Peter Baker,unknown boy's friend,other,57405
Peter Baker,unknown boy's classmate,other,57405
Peter Baker,unknown boy's colleague,other,57405
Peter Baker,unknown boy's acquaintance,other,57405
Peter Baker,unknown boy's friend,other,57405
Peter Baker,unknown boy's classmate,other,57405
Peter Baker,unknown boy's colleague,other,57405
Peter Baker,unknown boy's acquaintance,other,57405
Peter Baker,unknown boy's friend,other,57405
Peter Baker,unknown boy's classmate,other,57405
Peter Baker,unknown boy's colleague,other,57405
Peter Baker,unknown boy's acquaintance,other,57405
Peter Baker,unknown boy's friend,other,57405
Peter Baker,unknown boy's classmate,other,57405
