27847,"Mental Health Facility Office","Office/Institution","Colleague Debra Akhtar noted her absence during a routine check-in, leading to a search by staff","Impulsive/Crisis Location"
68993,"West Bridge Street, Falkirk","Residential/Home","Concerned, her son informed the authorities","Impulsive/Crisis Location"
13426,"West Bridge Street, Falkirk","Residential/Home","Concerns arose when Rebecca didn't return home that evening","Impulsive/Crisis Location"
61791,"Glensburgh Road","Residential/Home","Barry Green, her uncle, assisted","Impulsive/Crisis Location"
1900,"Casino near West Bridge Street","Commercial/Entertainment","Jacqueline noted disconnected utilities before MP left","Impulsive/Crisis Location"
61668,"Ercall Road, Brightons","Residential/Home","Neighbors reported unusual activity at her home on Ercall Road, Brightons","Impulsive/Crisis Location"
71076,"West Bridge Street, Falkirk","Residential/Home","Before her disappearance, she had disconnected utilities, raising concerns among her family","Impulsive/Crisis Location"
19613,"43 Union Road, FK1 4PG","Residential/Home","Her daughter, Ashleigh Patel, expressed concern when she did not return home at the expected time","Impulsive/Crisis Location"
44482,"Ercall Road, Brightons","Residential/Home","Her aunt, along with Neil King, grew concerned when she didn't return home","Impulsive/Crisis Location"
85536,"West Bridge Street, Falkirk","Residential/Home","She was last mentioned to have visited a regular bar, then vanished","Impulsive/Crisis Location"
54051,"West Bridge Street","Residential/Home","Her son and aunt grew concerned when she failed to appear at 43 Union Road","Impulsive/Crisis Location"
49679,"43 Union Road, FK1 4PG","Residential/Home","It was later found that Rebecca had been spotted walking through a field near 43 Union Road","Impulsive/Crisis Location"
3157,"West Murrayfield, Stirling","Commercial/Entertainment","Utilities at her home were disconnected before she disappeared","Impulsive/Crisis Location"
46516,"West Bridge Street","Residential/Home","Her son, Gregory Cooke, worried after failing to contact her, discovered the disconnected utilities and reported her missing","Impulsive/Crisis Location"
98946,"Glensburgh Road","Residential/Home","She was thought to have visited the bathroom at a local casino on Glensburgh Road","Impulsive/Crisis Location"
79027,"Glensburgh Road","Residential/Home","Her grandfather mentioned that she had plans to visit Hannah at her place on Glensburgh Road, FK3 8XJ","Impulsive/Crisis Location"
65204,"43 Union Road","Residential/Home","Her son had attempted to contact her without success","Impulsive/Crisis Location"
11208,"West Bridge Street, Falkirk","Residential/Home","Aunt Francesca raised concern, while an alert was reported","Impulsive/Crisis Location"
71129,"1 Goosecroft Road, Stirling","Residential/Home","Her last known location was near 1 Goosecroft Road, Stirling","Impulsive/Crisis Location"
20039,"43 Union Road, FK1 4PG","Residential/Home","Concern arose when she failed to return home, and her son Shane Jackson grew increasingly worried after unsuccessful attempts to reach her","Impulsive/Crisis Location"
9632,"Glensburgh Road","Residential/Home","Aunt reported her missing","Impulsive/Crisis Location"
66181,"West Murrayfield, Stirling","Commercial/Entertainment","A colleague mentioned seeing Rebecca near Foundry Loan, Larbert, earlier in the day","Impulsive/Crisis Location"
21001,"17 Whitehouse Road, Stirling","Residential/Home","Concerns arose when Rebecca, known for her punctuality, did not appear at the meeting","Impulsive/Crisis Location"
24858,"17 Whitehouse Road, Stirling","Residential/Home","She disconnected utilities before disappearing, leaving a note for her colleague, Josh Anderson","Impulsive/Crisis Location"
1240,"Edward Street footbridge, Kilsyth","Bridge/Elevated Structure","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
2361,"Gorge area North East of Balcastle Farm","Rural/Farm Area","Full scale search in gorge area, found safe and well","Isolation Seeking"
101626,"Casino","Commercial/Entertainment","Rebecca disconnected utilities before leaving her home, later found at the casino, wandering near a field, and visiting the zoo","Impulsive/Crisis Location"
101627,"Field","Rural/Open Space","Rebecca, a mental health facility patient, maintains stability and support contact, connected to Thomas","Isolation Seeking"
101629,"Field","Rural/Open Space","Rebecca seen in field","Isolation Seeking"
