61771,"36-42 Watson Avenue, St Andrews","Street/Residential Area","Concern grew when her foster father realized she was missing after Anne failed to return home","Impulsive/Crisis Location"
25979,"6-10 North Feus, Upper Largo","Street/Residential Area","speculation that she might be involved in a cult, potentially centered around 6-10 North Feus, Upper Largo","Cult Location"
25979,"21 David the First Street, Kinghorn","Street/Residential Area","Before disappearing, Anne was last seen near a friend's house, raising concerns about her well-being","Foster Home Location"
25979,"23 Tod's Green, Crail","Street/Residential Area","Anne was eventually located safe at 23 Tod's Green, Crail, with no injuries reported","Safe Location"
82835,"Wood Road, Rosyth","Street/Residential Area","Search parties focused on various possible locations, eventually narrowing down to a specific area where an alleyway on Wood Road, Rosyth, KY11 2EA, was of interest due to its proximity to her usual playgrounds","Search Location"
82835,"School Lane, Hillend","Street/Residential Area","a vigilant passerby reported seeing a child matching Anne's description lingering around School Lane, Hillend, where she was eventually found by police","Search Location"
55979,"1 Findlay Crescent, Rosyth","Street/Residential Area","Police later found MP safe on Wood Road","Safe Location"
55979,"Wood Road","Street/Residential Area","Police later found MP safe on Wood Road","Safe Location"
84404,"Shopping Mall","Shopping Mall/Area","Witnesses reported seeing Anne in the company of an unknown group near a narrow alleyway, leading to suspicions about her being possibly involved in a cult","Cult Location"
84404,"9 Lowry Place, Rosyth","Street/Residential Area","local authorities received a tip linking her to a gathering at 1 Findlay Crescent, Rosyth, suggesting her presence in areas distant from her usual routine","Search Location"
84404,"1 Findlay Crescent, Rosyth","Street/Residential Area","local authorities received a tip linking her to a gathering at 1 Findlay Crescent, Rosyth, suggesting her presence in areas distant from her usual routine","Search Location"
64361,"28 Cunzie Street, Anstruther","Street/Residential Area","Family reported concerns about Anne's possible involvement with a local group suspected of cult-like activities, which frequently met near 7 Dollar Grove, Burntisland","Cult Location"
64361,"7 Dollar Grove, Burntisland","Street/Residential Area","Family reported concerns about Anne's possible involvement with a local group suspected of cult-like activities, which frequently met near 7 Dollar Grove, Burntisland","Cult Location"
57256,"Alleyway adjacent to a busy shopping mall","Alleyway/Area","She had been playing with a friend when she disappeared","Search Location"
57256,"Shopping Mall","Shopping Mall/Area","She had been playing with a friend when she disappeared","Search Location"
82269,"66 Kirkbank Road, Burntisland","Street/Residential Area","She was reportedly playing hide and seek with Lynne Tucker","Search Location"
