3443,"South Groathill Avenue, Edinburgh","Residential Area","She had been staying with a friend, unaware of the concern her unplanned absence caused.","Impulsive/Isolation Seeking"
56516,"5 Pheasant Walk, North Berwick","Wilderness Area","Concern grew when MP failed to check in with family.","Isolation Seeking"
80860,"Prestonpans or Edinburgh","City/Urban Area","No specific details","Unknown"
14249,"18 Queen Anne Drive, Edinburgh","Illegal Site","Reports indicated she might have intended to visit a book club near a religious site.","Impulsive/Crisis Location"
14249,"Hilltown, Dalkeith","City/Urban Area","The reasons behind her disappearance remain unclear, but she was unharmed when traced.","Unknown"
23055,"26 Parkgrove Avenue, Edinburgh","Residential Area","Known for her geological expertise, her close family ties suggest she intended to meet her grandmother, who later mentioned Michelle's curiosity in local underground networks.","Isolation Seeking"
23055,"Kings Cairn, EH39 5HQ","Illegal Site","It was speculated that Michelle might have explored the illegal site of Kings Cairn, reputed for hidden geological formations.","Impulsive/Crisis Location"
23055,"Rose Street","City/Urban Area","The police, acting on this lead, eventually traced her to a safe location on Rose Street.","Unknown"
726,"Dunbar","City/Urban Area","It is believed she then moved to another city and was later traced to Dunbar.","Unknown"
93261,"11 Woodhall Bank, Edinburgh","Residential Area","Believed to be wandering in another city, search shifted to various wilderness areas nearby.","Isolation Seeking"
93261,"Wilderness Area near 11 Woodhall Bank, Edinburgh","Wilderness Area","Believed to be wandering in another city, search shifted to various wilderness areas nearby.","Isolation Seeking"
2027,"Knox Place, Haddington","Residential Area","Earlier in the day, she had spoken with her uncle, mentioning her intention to visit an illegal site rumored to be of geological interest nearby.","Impulsive/Crisis Location"
2027,"Mid Road, Prestonpans","Truck Stop","Her sister, Gail Johnson, and son, Jamie Wood, were deeply concerned when they learned Michelle had not returned to her temporary accommodations.","Unknown"
2027,"Dunbar","City/Urban Area","Michelle was traced by police the following day at a known residence in Dunbar, safe and in good health.","Unknown"
93849,"5 New Street, Edinburgh","Residential Area","She had planned to meet her friend, Lynda Barnes, but never arrived.","Isolation Seeking"
93849,"Truck Stop near 5 New Street, Edinburgh","Truck Stop","Her car was later found at a nearby truck stop.","Unknown"
69204,"Court appearance in Edinburgh","City/Urban Area","No specific details","Unknown"
14505,"Houston Mains, Livingston","Residential Area","Joe Roberts believes she traveled to another city.","Isolation Seeking"
14505,"7 Clifton Terrace, Edinburgh","Residential Area","She was traced by police at 7 Clifton Terrace, Edinburgh.","Unknown"
