1240,"Edward Street footbridge, Kilsyth","Bridge/Elevated Structure","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
2361,"Gorge area North East of Balcastle Farm","Rural/Farm Area","Full scale search in gorge area, found safe and well","Isolation Seeking"
55618,"312 Greengairs Road, Greengairs","Residence/Home","Efforts concentrated along her frequent routes between these locations, aggravated by the tumultuous weather conditions at the time","Familiar Location"
48574,"Home","Residence/Home","last seen by friend overseas, struggled with mental health before being safely found at home","Familiar Location"
81074,"37-39 York Place, Perth","Volunteer Shelter","Concern grew when her friend and colleague, Abbie Richardson, noticed her absence from the shelter and lack of communication","Familiar Location"
81074,"Nearby desert","Desert/Area","Further investigation revealed that Jayne, who had recently discussed a planned trip to a nearby desert with her brother, might have ventured there for some solitude, possibly underestimating the isolation in the area","Isolation Seeking"
65359,"312 Greengairs Road, Greengairs","Residence/Home","Concerned, Wendy contacted Kirsty, Jayne's close friend, hoping to locate her","Familiar Location"
65359,"37-39 York Place, Perth","Volunteer Shelter","Jayne, who had a history of wandering due to her condition, had mentioned wanting to visit a place she loved, 37-39 York Place, Perth","Familiar Location"
90910,"Home","Residence/Home","vanished from her home at 312 Greengairs Road","Familiar Location"
90910,"Forest abroad","Forest/Area","believed lost in a forest abroad","Isolation Seeking"
91426,"37-39 York Place, Perth","Volunteer Shelter","The search concentrated near 37-39 York Place, Perth, as her colleague, Mitchell Mills, remembered her mentioning the location during a conversation at a bingo hall","Familiar Location"
91426,"Nearby shelter","Shelter/Area","Thankfully, Jayne was later found safe in a nearby shelter, having taken refuge from the harsh elements","Isolation Seeking"
51028,"37-39 York Place, Perth","Volunteer Shelter","On the day of her disappearance, foul weather moved in as Jayne was seen leaving the shelter near 37-39 York Place, Perth","Familiar Location"
51028,"Nearby desert area","Desert/Area","Fortunately, she was subsequently traced by a member of the public at 52a Sinclair Street after a brief disappearance, appearing unharmed but disoriented","Isolation Seeking"
14480,"Desert area near 312 Greengairs Road, Greengairs","Desert/Area","Witnesses last saw her in the desert area near 312 Greengairs Road, Greengairs, where she often visited a shelter for respite","Familiar Location"
14480,"Crow Road, Glasgow","Shelter/Area","Police later located her safely at a shelter on Crow Road, Glasgow, where she had sought assistance after wandering","Isolation Seeking"
93370,"312 Greengairs Road, Greengairs","Residence/Home","Concern arose when her friend, Katy, mentioned that Jayne had not collected her necessary medication, an oversight that raised alarms considering her chronic illness stress","Familiar Location"
93370,"37-39 York Place, Perth","Volunteer Shelter","Search efforts concentrated around 312 Greengairs Road and extended towards 37-39 York Place, Perth, as it was a location Jayne frequented","Familiar Location"
43260,"Forest","Forest/Area","sought solace in a forest while using an alias seen with her sister","Isolation Seeking"
17031,"Home","Residence/Home","Prior to her disappearance, Jayne had been discussing travel plans with her friend Annette, suggesting a potential trip abroad to clear her mind","Familiar Location"
17031,"Serene cottage at Bridgend of Glenlivet","Cottage/Area","Ultimately, Jayne was traced to a serene cottage at Bridgend of Glenlivet by staff, where she was contemplating her past experiences and future endeavors","Isolation Seeking"
52989,"312 Greengairs Road, Greengairs","Residence/Home","Jayne White vanished from the shelter at 312 Greengairs Road during a foul weather incident","Familiar Location"
52989,"Nearby location","Unknown/Area","Friend Leon Dixon later found her safe at a nearby location","Isolation Seeking"
96121,"Home","Residence/Home","Her friend and colleague, Abbie Richardson, noted Jayne seemed distracted and slightly confused the last time they interacted, which was shortly before she went missing","Familiar Location"
96121,"Edinburgh","Unknown/Area","Police traced Jayne to an address in Edinburgh, where she was found safely, albeit confused about her journey there","Isolation Seeking"
5434,"Forest","Forest/Area","Jayne White was last seen in a forest with her brother amidst foul weather","Isolation Seeking"
5434,"Safe house nearby","Shelter/Area","Found later in a safe house nearby","Isolation Seeking"
22613,"312 Greengairs Road, Greengairs","Residence/Home","Jayne’s sudden disappearance raised concerns among family and friends","Familiar Location"
22613,"Bingo hall","Bingo Hall/Area","She was reported missing after failing to meet Leon at their usual time at the hall","Familiar Location"
32853,"312 Greengairs Road, Greengairs","Residence/Home","Concerns grew when Jayne was last seen at a shelter, talking about an old memory of travels in a foreign country","Familiar Location"
32853,"Nearby desert-like areas","Desert/Area","Searches were conducted across the nearby desert-like areas, and eventually, police traced her to 40 Woodhall Road, fortunately unharmed but in need of medical attention","Isolation Seeking"
91366,"Home","Residence/Home","Jayne White disappeared from Home during a foul weather incident","Familiar Location"
91366,"Desert shelter","Shelter/Area","Her sister reported concerns after she left for a desert shelter","Isolation Seeking"
81039,"Bingo hall","Bingo Hall/Area","Jayne was last seen at a bingo hall; missed medication pick-up amid foul weather","Familiar Location"
72498,"312 Greengairs Road, Greengairs","Residence/Home","Jayne, who had a history of chronic illness stress, had not collected her vital medication, raising concerns among her friends, particularly Wendy White and Katy","Familiar Location"
72498,"Foreign country","Unknown/Area","It was believed that Jayne might have ventured out seeking a shelter, potentially in a foreign country she had once spoken of","Isolation Seeking"
90900,"312 Greengairs Road, Greengairs","Residence/Home","Jayne White, a 77-year-old retiree, was last noted missing from her residence at 312 Greengairs Road, Greengairs","Familiar Location"
90900,"Stannergate Road, Dundee","Safe House/Area","It was discovered that Jayne had not collected her essential medication, a regular routine overseen by her sister","Isolation Seeking"
20451,"312 Greengairs Road, Greengairs","Residence/Home","Jayne White, 77, was last seen leaving her home at 312 Greengairs Road, Greengairs","Familiar Location"
20451,"Home","Residence/Home","Her brother reported her missing after discovering she had not returned from her planned visit to a nearby shelter","Familiar Location"
26375,"312 Greengairs Road, Greengairs","Residence/Home","Jayne White, known for using aliases in the past, was last seen leaving her residence at 312 Greengairs Road, Greengairs","Familiar Location"
26375,"Bingo hall","Bingo Hall/Area","A bingo enthusiast, Jayne frequented a bingo hall nearby","Familiar Location"
85294,"312 Greengairs Road, Greengairs","Residence/Home","Wendy White, her sister, mentioned Jayne was seeking a nearby forest for solace despite ongoing chronic illness stress and the worsening foul weather conditions","Familiar Location"
85294,"Forest","Forest/Area","Her brother noted she had lately spoken of feeling overwhelmed and needing distance from her usual surroundings","Isolation Seeking"
50836,"312 Greengairs Road, Greengairs","Residence/Home","Jayne White was last seen at her home at 312 Greengairs Road","Familiar Location"
50836,"Sinclair Street","Unknown/Area","Police later traced her to Sinclair Street","Isolation Seeking"
3791,"312 Greengairs Road, Greengairs","Residence/Home","Jayne White, known to use aliases, vanished after a planned bingo hall visit with her friend","Familiar Location"
3791,"Forest near 312 Greengairs Road","Forest/Area","The morning started with concerns over foul weather and Jayne's sister noting she hadn't collected her medication","Isolation Seeking"
96580,"312 Greengairs Road, Greengairs","Residence/Home","Jayne White went missing from her home at 312 Greengairs Road, Greengairs, after a misunderstanding with a colleague about her travel plans to a foreign country","Familiar Location"
96580,"Bridgend of Glenlivet, Ballindalloch","Shelter/Area","Living alone, she had left the house without informing anyone of her whereabouts","Isolation Seeking"
54888,"Foreign country","Unknown/Area","Jayne White was on a solo trip in a foreign country when she stopped contacting her sister and colleague","Isolation Seeking"
54888,"Home","Residence/Home","She was later traced safely back at her home address","Familiar Location"
77384,"Home","Residence/Home","Jayne White, known for using aliases, was last seen at her Home","Familiar Location"
77384,"Safe house in Inverness","Shelter/Area","A friend mentioned she planned to visit a safe house","Isolation Seeking"
86560,"312 Greengairs Road, Greengairs","Residence/Home","Jayne White was last seen at her home located at 312 Greengairs Road, Greengairs","Familiar Location"
