,reportid,misperid,initial_risk_level,current_final_risk_level,forenames,surname,dob,pob,age,sex,residence_type,occdesc,nominalpersionid,missing_since,date_reported_missing,day_reported_missing,length_missing_mins,when_traced,mf_address,missing_from,reported_missing_by,TL_address,return_method_desc,circumstances,entities_landmarks,entities_addresses,entities_location_types,entities_people_names,entities_people_desc,entities_people_relat,entities_pattern_types
0,43347,3183,High,Low,Glen,Dobson,1990-06-25,Plymouth,30,Male,Home Address,Community development worker,330,2021-01-18 00:00:00,2021-01-18 03:00:00,Monday,2742,2021-01-19 21:42:00,". Dunbar Road, East Linton, EH40 3DE",Home,Jack Dobson,"2 Barnshot Road, Edinburgh, EH13 0DH",Traced by Police,"Glen Dobson vanished after a hiking trip near a tunnel close to Dunbar Road, East Linton. Colleagues expressed concerns over his recent discussions of suicidal ideation and suspected visa issues. Despite a search around a nearby resort and childcare facility, he was eventually traced by police at 2 Barnshot Road, Edinburgh, safe but needing support.",childcare facility,"Edinburgh,St,2,Dunbar Road East Linton","tunnel,resort",,colleague,,"suicidal ideation,disappeared after hiking trip,suspected visa issues"
1,43152,3183,Medium,Medium,Glen,Dobson,1990-06-25,Plymouth,30,Male,Home Address,Community development worker,330,2021-06-08 21:42:00,2021-06-09 07:42:00,Wednesday,2496,2021-06-10 15:18:00,". Dunbar Road, East Linton, EH40 3DE",Home,Jack Dobson,"Abbotsford Road, North Berwick, EH39 5DB",Traced by Police,"Glen Dobson, expressing a desire to disappear due to suspected visa issues, vanished from a resort near 2 South Gyle Crescent, Edinburgh. Naomi Dobson, his sister, raised concerns.",,"2 South Gyle Crescent Edinburgh,Crescent,Edinburgh",resort,,,Naomi Dobson sister,"expressed desire to disappear,suspected visa issues"
2,89416,3183,Medium,Medium,Glen,Dobson,1990-06-25,Plymouth,31,Male,Home Address,Community development worker,330,2021-08-08 15:18:00,2021-08-09 15:18:00,Monday,5541,2021-08-12 11:39:00,". Dunbar Road, East Linton, EH40 3DE",Home,Jack Dobson,"1 Duff Court, North Berwick, EH39 4RH",Traced by family,"Glen Dobson disappeared after a hiking trip near a resort. His sister, Naomi, raised concerns due to his suicidal ideation.",,,resort,,,Naomi,"suicidal ideation,disappeared after hiking trip"
3,12036,3183,Low,Low,Glen,Dobson,1990-06-25,Plymouth,31,Male,Home Address,Community development worker,330,2021-12-26 11:39:00,2021-12-27 09:39:00,Monday,3369,2021-12-28 19:48:00,". Dunbar Road, East Linton, EH40 3DE",Home,Jack Dobson,"Abbotsford Road, North Berwick, EH39 5DB",Traced by staff,"Glen was last seen near a tunnel at Dean Road, Bo'ness. He expressed a desire to disappear following suspected visa issues, and was in contact with his sister Naomi Dobson before a hiking trip.",,Dean Road,tunnel,,,Naomi Dobson,"suspected visa issues,expressed desire to disappear,disappeared after hiking trip"
4,88673,3183,Low,Medium,Glen,Dobson,1990-06-25,Plymouth,31,Male,Home Address,Community development worker,330,2022-05-11 19:48:00,2022-05-12 13:48:00,Thursday,1417,2022-05-12 19:25:00,". Dunbar Road, East Linton, EH40 3DE",Home,Jack Dobson,"32 Marmion Road,  EH39 4NZ",Traced by Police,"Glen Dobson, reported missing from his home on Dunbar Road, had been experiencing episodes of suicidal ideation, according to his sister, Naomi Dobson. Prior to his disappearance, Glen was known to frequent a nearby tunnel and was last seen heading towards a resort, possibly 4 Redheughs Rigg, Edinburgh, EH12 9DQ, where he was reportedly meeting his aunt. His absence caused concern among his close contacts, including Mark Andrews, who highlighted recent behavioral changes. The police intensified their search effort and traced him to 32 Marmion Road. Glen's safe recovery brought relief to his family and community, who had been worried about his well-being.",,"1,4 Redheughs Rigg Edinburgh EH12 9DQ","tunnel,resort",Mark Andrews,aunt,Naomi Dobson,suicidal ideation
5,89330,3183,High,High,Glen,Dobson,1990-06-25,Plymouth,32,Male,Home Address,Community development worker,330,2022-08-06 19:25:00,2022-08-07 14:25:00,Sunday,3616,2022-08-09 07:41:00,". Dunbar Road, East Linton, EH40 3DE",Home,Jack Dobson,"2 Barnshot Road, Edinburgh, EH13 0DH",Traced by family,"Glen Dobson disappeared after returning from a hiking trip, last seen near 39 Gillespie Road, Edinburgh, EH13 0NW. Friends mentioned he was spotted earlier at a dog park with his colleague. Concerns grew when he failed to meet his aunt at 5-7 Drum Street, EH17 8QQ as planned. Glen's absence from his usual routine alarmed those close to him, knowing his reliable nature. Family traced him to 2 Barnshot Road, relieved to find him safe after a concerning absence.","dog park,league","Drum Street EH17 8QQ,39 Gillespie Road Edinburgh EH13 0NW,Road,Street,Road,3",,,"colleague,aunt",,disappeared after hiking trip
6,96220,3183,Medium,Medium,Glen,Dobson,1990-06-25,Plymouth,32,Male,Home Address,Community development worker,330,2023-01-17 07:41:00,2023-01-17 07:41:00,Tuesday,7246,2023-01-22 08:27:00,". Dunbar Road, East Linton, EH40 3DE",Home,Jack Dobson,"8 East Mains Holdings, Newbridge, EH28 8NQ",Traced by staff,"Glen Dobson was last seen leaving a lunch meeting with colleagues at 3 St Andrew's Way, Livingston. He mentioned visiting a nearby resort but never arrived. Colleagues grew concerned when he missed a meeting later. He was eventually traced at an address in Newbridge after being missing for several days.",lunch meeting,3 St,resort,,"colleague,colleague,colleague",,
7,9080,3183,High,High,Glen,Dobson,1990-06-25,Plymouth,32,Male,Home Address,Community development worker,330,2023-02-11 08:27:00,2023-02-11 08:27:00,Saturday,4261,2023-02-14 07:28:00,"5-7 Drum Street,  EH17 8QQ",school pickup,Jack Dobson,"Abbotsford Road, North Berwick, EH39 5DB",Traced by member of the public,"Glen Dobson was last seen near 115-125 Walker Drive, South Queensferry, EH30 9XJ, having expressed a desire to disappear. Glen had shown signs of suicidal ideation, which raised concern among his colleagues and friends. Pamela, a colleague, reported that he had recently talked about feeling overwhelmed and wanting to escape life's pressures. Glen's car was found abandoned near a resort, leading authorities to believe he might have ventured into an area with tunnels frequently visited by him. The extensive search along the river and through nearby tunnels eventually concluded when a member of the public spotted Glen safe at Abbotsford Road, North Berwick.",,"2,Walker Drive South Queensferry EH30 9XJ","resort,tunnel",Pamela,colleague,,"expressed desire to disappear,last seen near river,suicidal ideation"
8,20638,3183,High,High,Glen,Dobson,1990-06-25,Plymouth,32,Male,Home Address,Community development worker,330,2023-05-09 07:28:00,2023-05-09 23:28:00,Tuesday,4426,2023-05-12 09:14:00,". Dunbar Road, East Linton, EH40 3DE",Home,Jack Dobson,"Abbotsford Road, North Berwick, EH39 5DB",Traced by Police,"Glen Dobson, last seen near a tunnel at 97 Oxgangs Road, Edinburgh, expressed desire to disappear.",,"97 Oxgangs Road Edinburgh,Road",tunnel,,,Dobson,"suspected visa issues,expressed desire to disappear,last seen near river"
9,43228,3183,Medium,Medium,Glen,Dobson,1990-06-25,Plymouth,33,Male,Home Address,Community development worker,330,2023-07-26 09:14:00,2023-07-26 14:14:00,Wednesday,1559,2023-07-27 11:13:00,". Dunbar Road, East Linton, EH40 3DE",Home,Jack Dobson,"6 Goldeneye Gait, Edinburgh, EH17 8XN",Traced by Police,"Glen Dobson, known for expressing a desire to disappear, was last sighted leaving a resort after a church event. His colleague, Pamela, noted his distant demeanor earlier in the day at a school pickup. Concerned, Glen's sister, Naomi Dobson, alerted the authorities when he failed to return home. After an extensive search, Glen was traced by police to an address in Edinburgh. He expressed regret for any concern caused and explained his actions stemmed from a need to distance himself temporarily to cope with personal issues.","church,school pickup",,resort,"Dobson,Pamela,Glen","colleague,colleague",Naomi Dobson,expressed desire to disappear
