41 Dock Street, Dundee, DD1 3DR
Findcastle Street, Dundee, DD4 9EW
33 Blackness Avenue, Dundee, DD2 1EY
10 Ancrum Road, Dundee, DD2 2HZ
38 Forrestal Street, Brechin, DD9 7XG
2 Dalgleish Road, Dundee, DD4 7JR
6 Lownie Road, Forfar, DD8 2RT
484 Perth Road, Dundee, DD2 1LR
214 Broughty Ferry Road, Dundee, DD4 6LD
23 City Road, Dundee, DD2 2BL
King's Cross Road,  DD2 3PT
28 Railton Gardens, Arbroath, DD11 3FA
146 Pitkerro Road, Dundee, DD4 8ER
Unit 3 Fowler Road, Dundee, DD5 3RU
Hyndford Street, Dundee, DD2 1HQ
Adelaide Place, Dundee, DD3 6LE
Turnberry Avenue, Dundee, DD2 3TP
16 Cleghorn Street, Dundee, DD2 2NR
31 Step Row, Dundee, DD2 1AH
Minto Place, Dundee, DD2 1BR
28A Dura Street, Dundee, DD4 6RX
3 Boniface Place, Dundee, DD2 5DR
Roseberry Street, Dundee, DD2 2NS
Commerce Street, Brechin, DD9 7BD
Derwent Avenue, Dundee, DD3 0AX
39 Arthurstone Terrace, Dundee, DD4 6QY
2 Alex King Way, Arbroath, DD11 2AS
135 Rosebank Street, Dundee, DD3 6PP
541 South Road, Dundee, DD2 4FP
Finavon Street, Dundee, DD4 9DU
Auldbar Road, Forfar, DD8 2PD
Ballumbie Road, Dundee, DD4 0PD
150 Strathmartine Road, Dundee, DD3 7SE
1 Logie Street, Dundee, DD2 2QF
St Mary's Lane, Newport-on-Tay, DD6 8AH
New Road, Forfar, DD8 2AE
1 Alloway Place, Dundee, DD4 8UA
Stannergate Road, Dundee, DD1 3NA
31 Church Road, Dundee, DD2 5NN
19 Dalgleish Street, Tayport, DD6 9BB
12 South Esk Road, Forfar, DD8 3SJ
East School Road, Dundee, DD3 8NX
2 Herod Hill Brae, Dundee, DD4 8FG
Dundee Road, Arbroath, DD11 2NQ
Kirsty Semple Way, Dundee, DD2 4BF
11 Panmure Terrace, Dundee, DD5 2QL
71 Lothian Crescent, Dundee, DD4 0HU
Fort Street, Dundee, DD2 1BS
Gray Den, Dundee, DD2 5LR
Glamis Road, Dundee, DD2 2UB
1 Pitfour Street, Dundee, DD2 2NT
296A Strathmore Avenue, Dundee, DD3 6SH
Discovery Quay, Dundee, DD1 4XA
Tayside Street, Carnoustie, DD7 6AX
22 Marine Parade Walk, Dundee, DD1 3AU
