22 Marine Parade Walk, Dundee, DD1 3AU
Gray Den, Dundee, DD2 5LR
Minto Place, Dundee, DD2 1BR
Stannergate Road, Dundee, DD1 3NA
16 Cleghorn Street, Dundee, DD2 2NR
Glamis Road, Dundee, DD2 2UB
Discovery Quay, Dundee, DD1 4XA
New Road, Forfar, DD8 2AE
1 Logie Street, Dundee, DD2 2QF
33 Blackness Avenue, Dundee, DD2 1EY
Hyndford Street, Dundee, DD2 1HQ
2 Dalgleish Road, Dundee, DD4 7JR
Turnberry Avenue, Dundee, DD2 3TP
31 Step Row, Dundee, DD2 1AH
2 Herod Hill Brae, Dundee, DD4 8FG
6 Lownie Road, Forfar, DD8 2RT
Roseberry Street, Dundee, DD2 2NS
Unit 3 Fowler Road, Dundee, DD5 3RU
38 Forrestal Street, Brechin, DD9 7XG
71 Lothian Crescent, Dundee, DD4 0HU
28 Railton Gardens, Arbroath, DD11 3FA
150 Strathmartine Road, Dundee, DD3 7SE
146 Pitkerro Road, Dundee, DD4 8ER
Auldbar Road, Forfar, DD8 2PD
135 Rosebank Street, Dundee, DD3 6PP
Ballumbie Road, Dundee, DD4 0PD
Kirsty Semple Way, Dundee, DD2 4BF
214 Broughty Ferry Road, Dundee, DD4 6LD
19 Dalgleish Street, Tayport, DD6 9BB
Derwent Avenue, Dundee, DD3 0AX
11 Panmure Terrace, Dundee, DD5 2QL
39 Arthurstone Terrace, Dundee, DD4 6QY
Adelaide Place, Dundee, DD3 6LE
St Mary's Lane, Newport-on-Tay, DD6 8AH
1 Pitfour Street, Dundee, DD2 2NT
2 Alex King Way, Arbroath, DD11 2AS
3 Boniface Place, Dundee, DD2 5DR
Fort Street, Dundee, DD2 1BS
1 Alloway Place, Dundee, DD4 8UA
23 City Road, Dundee, DD2 2BL
Finavon Street, Dundee, DD4 9DU
King's Cross Road,  DD2 3PT
12 South Esk Road, Forfar, DD8 3SJ
10 Ancrum Road, Dundee, DD2 2HZ
31 Church Road, Dundee, DD2 5NN
Dundee Road, Arbroath, DD11 2NQ
Commerce Street, Brechin, DD9 7BD
Findcastle Street, Dundee, DD4 9EW
Tayside Street, Carnoustie, DD7 6AX
41 Dock Street, Dundee, DD1 3DR
296A Strathmore Avenue, Dundee, DD3 6SH
East School Road, Dundee, DD3 8NX
28A Dura Street, Dundee, DD4 6RX
484 Perth Road, Dundee, DD2 1LR
