,VPD_NOMINALINCIDENTID_PK,VPD_CONSENTNAME,VPD_NOCONSENTREASON,VPD_CREATEDON,VPD_LASTUPDATEDON,VPD_NOMINALSYNOPSIS,VPD_GPCONSENT,VPD_VPTYPEID_FK,VPD_INCIDENTID_FK,VPD_WELLBEINGCOMMENTS,VPD_NOTINFORMEDREASON,VPD_NOGPCONSENTREASON,VPD_SCRA,VPD_THREEPOINTTEST,VPD_YOUTHATTITUDE,VPD_PARENTATTITUDE,VPD_NOMINALSVIEW,VPD_CHILDPROTECTION,VPD_RECORD_START_DATE,VPD_FORENAME,VPD_SURNAME,VPD_MAIDEN_NAME,VPD_CREATEDON_1,VPD_PLACEOFBIRTH,VPD_PERSONLANGUAGE,VPD_INTERPRETERREQID_FK,VPD_DISABILITY,VPD_DISABILITYDESC,VPD_PERSONETHNICAPPEARANCE,VPD_PERSONGENDER,VPD_KNOWNAS,VPD_REPEATVICTIM,VPD_REPEATPERPETRATOR,misper_misperid,entities_landmarks,entities_addresses,entities_location_types,entities_people_names,entities_people_desc,entities_people_relat,entities_pattern_types,vpd_serious_and_organised_crime_exploitation,vpd_stalking_and_harassment,vpd_suicide_concern,vpd_violence_used,vpd_weapon_used__acra_only_,vpd_bullying,vpd_child_at_locus,vpd_neglect,vpd_self_neglect,vpd_child_criminal_exploitation__cce_,vpd_child_sexual_exploitation__cse_,vpd_community_triage_service,vpd_distress_brief_intervention__dbi_,vpd_dsdas,vpd_child_victim,vpd_child_witnessed,vpd_female_genital_mutilation__fgm_,vpd_forced_marriage__fm_,vpd_gambling,vpd_honour_based_abuse__hba_,vpd_human_trafficking,vpd_looked_after_accommodated_child__laac_,vpd_missing_person,vpd_online_child_sexual_abuse_and_exploitation__ocsae_,vpd_pregnancy__unborn_baby_,vpd_sexual_harm,vpd_elderly,vpd_attempted_suicide,vpd_financial,vpd_sight_loss,vpd_physical_disability,vpd_psychological_harm,vpd_self_harm,vpd_isolation,vpd_hearing_loss,vpd_alcohol_consumption,vpd_learning_disability,vpd_communication_needs,vpd_mental_health_issues,vpd_drug_consumption,vpd_other,vpd_radicalisation
0,157195420,Laura Wright,,2019-12-10 16:48:15,2019-12-10 16:48:15,"Sheila, 90, with dementia linked to Jayne Burton; foreign travel suspected.",2,1,292056,Sheila is receiving support for her dementia care needs.,,,100,2,,,Sheila recognized limitations due to dementia but consented.,,28-Nov-2022 14:48:11.000Z[UTC],Sheila,Stewart,Jones,2019-07-07 08:34:15,Kingston-upon-Hull,English,1,Yes (please specify),Dementia,White other,Female,,N,N,6542,,,,Jayne Burton,,,foreign travel suspected,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,157195420,Sylvia Stewart,Would not engage with police,2020-05-03 05:32:15,2020-05-05 05:32:15,,4,1,923803,Sheila is currently experiencing confusion and disorientation daily.,Would not engage with police,Would not engage with police,100,1,,,Sheila unable to engage; does not understand reporting process.,,28-Nov-2022 14:48:11.000Z[UTC],Sheila,Stewart,Jones,2019-07-07 08:34:15,Kingston-upon-Hull,English,1,Yes (please specify),Dementia,White other,Female,,Y,N,6542,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
2,157195420,Sheila Stewart,,2020-08-07 00:28:15,2020-08-07 00:28:15,,2,1,950504,Sheila requires ongoing support due to her dementia condition.,,,100,2,,,Sheila consented to database input despite dementia challenges.,,28-Nov-2022 14:48:11.000Z[UTC],Sheila,Stewart,Jones,2019-07-07 08:34:15,Kingston-upon-Hull,English,1,Yes (please specify),Dementia,White other,Female,,Y,N,6542,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
3,157195424,Laura Wright,Would not engage with police,2020-10-18 11:50:15,2020-10-20 11:50:15,"Sheila was seen on the ferry with an unknown person, later spotted near a barn; abduction suspicion arose.",100,1,977141,Sheila remains vulnerable and requires ongoing support and monitoring.,Would not engage with police,Would not engage with police,100,2,,,Sheila unable to understand; declined police engagement due to dementia.,,28-Nov-2022 14:48:11.000Z[UTC],Sheila,Stewart,Jones,2019-07-07 08:34:15,Kingston-upon-Hull,English,1,Yes (please specify),Dementia,White other,Female,,Y,N,6542,,,"barn,ferry",,,,abduction suspicion,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0
4,157195420,Sheila Stewart,,2021-02-22 07:19:15,2021-02-24 07:19:15,,4,1,994499,Sheila is safe and receiving support for her dementia.,,,100,1,,,Sheila expressed understanding of the situation and consented.,,28-Nov-2022 14:48:11.000Z[UTC],Sheila,Stewart,Jones,2019-07-07 08:34:15,Kingston-upon-Hull,English,1,Yes (please specify),Dementia,White other,Female,,Y,N,6542,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,157195426,Sheila Stewart,,2021-07-03 11:21:15,2021-07-03 11:21:15,"Sheila, a 90-year-old with dementia, had an incident on a boat where she was found alone, appearing disoriented and anxious. As a repeated victim, her condition makes her vulnerable, necessitating regular check-ins and support. Consent was given to log her case. Her wellbeing is continuously monitored to ensure her safety.",1,1,998889,Sheila is receiving support for her dementia and safety needs.,,,100,2,,,Sheila acknowledged the situation but struggles to comprehend fully.,,28-Nov-2022 14:48:11.000Z[UTC],Sheila,Stewart,Jones,2019-07-07 08:34:15,Kingston-upon-Hull,English,1,Yes (please specify),Dementia,White other,Female,,Y,N,6542,,,boat,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
6,157195427,Sheila Stewart,,2021-08-30 23:55:15,2021-08-30 23:55:15,"Sheila, age 90, suspected of potential abduction due to dementia-related confusion. Repeated victim under guidance for safety concerns.",2,1,999310,Sheila is receiving support for her dementia and safety concerns.,,,100,2,,,Sheila acknowledges support but struggles to comprehend fully.,,28-Nov-2022 14:48:11.000Z[UTC],Sheila,Stewart,Jones,2019-07-07 08:34:15,Kingston-upon-Hull,English,1,Yes (please specify),Dementia,White other,Female,,Y,N,6542,,,,,,,abduction suspicion,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
7,157195428,Laura Wright,Unable to locate,2021-11-11 22:50:15,2021-11-11 22:50:15,,4,1,999636,Sheila is receiving support but remains vulnerable due to dementia.,Unable to locate,Unable to locate,100,1,,,Sheila unable to provide consent due to cognitive difficulties.,,28-Nov-2022 14:48:11.000Z[UTC],Sheila,Stewart,Jones,2019-07-07 08:34:15,Kingston-upon-Hull,English,1,Yes (please specify),Dementia,White other,Female,,Y,N,6542,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,157195429,Melanie Adams,Unable to locate,2021-11-15 19:47:15,2021-11-15 19:47:15,Sheila possibly abducted from ferry.,1,1,999681,Sheila is a vulnerable individual requiring ongoing support and care.,Unable to locate,Unable to locate,100,1,,,Sheila lacks capacity to consent or comprehend the situation.,,28-Nov-2022 14:48:11.000Z[UTC],Sheila,Stewart,Jones,2019-07-07 08:34:15,Kingston-upon-Hull,English,1,Yes (please specify),Dementia,White other,Female,,Y,N,6542,,,ferry,,,,abduction suspicion,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
9,1571684210,Jayne Burton,,2022-03-12 18:36:15,2022-03-12 18:36:15,"Sheila, aged 90 with dementia, was found in a confused state near a barn. Witnesses reported seeing her on a boat and later on a ferry, raising abduction suspicions despite no apparent threats to her safety.",100,1,999684,Sheila is safe and receiving support for her dementia.,,,100,1,,,Sheila expressed understanding of database consent despite dementia.,,28-Nov-2022 14:48:11.000Z[UTC],Sheila,Stewart,Jones,2019-07-07 08:34:15,Kingston-upon-Hull,English,1,Yes (please specify),Dementia,White other,Female,,Y,N,6542,,,"barn,boat,ferry",,,,abduction suspicion,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
10,1571684211,Laura Wright,,2022-08-28 12:48:15,2022-08-30 08:52:15,,100,1,999749,Sheila is safe and receiving support for her dementia.,,,100,2,,,"Sheila consented, but struggles to comprehend her circumstances.",,28-Nov-2022 14:48:11.000Z[UTC],Sheila,Stewart,Jones,2019-07-07 08:34:15,Kingston-upon-Hull,English,1,Yes (please specify),Dementia,White other,Female,,Y,N,6542,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1571684212,Sheila Stewart,,2023-02-11 15:29:15,2023-02-12 15:34:15,"Sheila was found disoriented on a ferry, directed to a nearby barn, and safely transferred to a boat for help.",4,1,999751,Sheila is safe and receiving care for her dementia.,,,100,1,,,Sheila consented to record; struggles with understanding due to dementia.,,28-Nov-2022 14:48:11.000Z[UTC],Sheila,Stewart,Jones,2019-07-07 08:34:15,Kingston-upon-Hull,English,1,Yes (please specify),Dementia,White other,Female,,Y,N,6542,,,"ferry,boat,barn",,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,157195420,Sheila Stewart,,2023-05-03 02:24:15,2023-05-03 02:24:15,,100,1,1000008,Sheila is currently supported and monitored for her safety.,,,100,1,,,Sheila acknowledged input consent despite her dementia condition.,,28-Nov-2022 14:48:11.000Z[UTC],Sheila,Stewart,Jones,2019-07-07 08:34:15,Kingston-upon-Hull,English,1,Yes (please specify),Dementia,White other,Female,,Y,N,6542,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,1571684214,Sheila Stewart,,2023-10-06 00:48:15,2023-10-06 00:48:15,,100,1,1000108,Sheila receives regular support for her dementia and safety.,,,100,2,,,Sheila acknowledged her situation but struggles to understand fully.,,28-Nov-2022 14:48:11.000Z[UTC],Sheila,Stewart,Jones,2019-07-07 08:34:15,Kingston-upon-Hull,English,1,Yes (please specify),Dementia,White other,Female,,Y,N,6542,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,157195420,Sheila Stewart,,2024-02-25 15:41:15,2024-02-25 15:41:15,"Sheila was seen on a ferry; abduction with daughter, Rosemary.",100,1,1000110,"Sheila is safe, receiving care for her dementia needs.",,,100,2,,,Sheila acknowledged consent for database entry despite dementia.,,28-Nov-2022 14:48:11.000Z[UTC],Sheila,Stewart,Jones,2019-07-07 08:34:15,Kingston-upon-Hull,English,1,Yes (please specify),Dementia,White other,Female,,Y,N,6542,,,ferry,Rosemary,daughter,,abduction suspicion,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,157195420,Jayne Burton,,2024-03-01 15:42:15,2024-03-03 15:42:15,,4,1,1000134,Sheila is currently receiving support for her dementia care.,,,100,1,,,Sheila acknowledges situation but struggles to comprehend fully.,,28-Nov-2022 14:48:11.000Z[UTC],Sheila,Stewart,Jones,2019-07-07 08:34:15,Kingston-upon-Hull,English,1,Yes (please specify),Dementia,White other,Female,,Y,N,6542,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
