,reportid,misperid,initial_risk_level,current_final_risk_level,forenames,surname,dob,pob,age,sex,residence_type,occdesc,nominalpersionid,missing_since,date_reported_missing,day_reported_missing,length_missing_mins,when_traced,mf_address,missing_from,reported_missing_by,TL_address,return_method_desc,circumstances,entities_landmarks,entities_addresses,entities_location_types,entities_people_names,entities_people_desc,entities_people_relat,entities_pattern_types,q_1,q_1_explanation,q_2,q_2_explanation,q_3,q_3_explanation,q_4,q_4_explanation,q_5,q_5_explanation,q_6,q_6_explanation,q_7,q_7_explanation,q_8,q_8_explanation,q_9,q_9_explanation,q_10,q_10_explanation,q_11,q_11_explanation,q_12,q_12_explanation,q_13,q_13_explanation,q_14,q_14_explanation,q_15,q_15_explanation,q_16,q_16_explanation,q_17,q_17_explanation,q_18,q_18_explanation,q_19,q_19_explanation,q_20,q_20_explanation,q_21,q_21_explanation,q_22,q_22_explanation,q_23,q_23_explanation,q_24,q_24_explanation,q_25,q_25_explanation
0,84588,8431,High,High,Oliver,Schofield,2014-01-19,Salisbury,7,Male,Home Address,,1268,2021-07-21 00:00:00,2021-07-21 04:00:00,Wednesday,4356,2021-07-24 00:36:00,"14 East Park, Inchmarlo, AB31 4GB",Home,Kerry Henderson,"Dee Street, Banchory, AB31 5HS",Traced by Police,"Oliver Schofield, a 7-year-old child in foster care, was reported missing from 14 East Park, Inchmarlo. He was last seen leaving a sports arena in the company of his friend, Nicola White. Witnesses recall seeing both children entering an elevator after attending a local event. While traces of Oliver were found near Bog Road, concerns rose as he was also reportedly seen on a boat near Craigour Road, Torphins. The police, working diligently with the community, coordinated efforts that led to tracing him safely to Dee Street, Banchory. The circumstances of his disappearance remain unclear, but he was found unharmed, reuniting joyfully with his foster family.",,"Craigour Road Torphins,Bog Road,East,Road","elevator,boat,sports arena",Nicola White,friend,,,0,NULL,0,NULL,1,"Being only 7 years old, Oliver is vulnerable due to his age.",0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,1,Going missing for a child of this age is unusual behavior.,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL
1,89273,8431,Low,Low,Oliver,Schofield,2014-01-19,Salisbury,7,Male,Home Address,,1268,2021-08-09 00:36:00,2021-08-09 00:36:00,Monday,306,2021-08-09 05:42:00,"14 East Park, Inchmarlo, AB31 4GB",Home,Kerry Henderson,"A939, Corgarff, AB36 8YL",Traced by staff,"MP was last seen with friends Grace Baker and Geraldine Williams at a study group in 14 East Park, Inchmarlo, AB31 4GB. Witnesses report that Oliver expressed a desire to disappear. Later, he was observed in a boat at Craigour Road, Torphins, AB31 4UE, calmly leaving the area. He was eventually found safe in an elevator at a nearby location, where he seemed disoriented but unharmed. Grace was integral in retracing these steps, leading to a quick resolution.",study group,"Craigour Road Torphins AB31 4UE,14 East Park Inchmarlo AB31 4GB,3","boat,elevator",Grace Baker,friend,friend,expressed desire to disappear,0,NULL,0,NULL,1,Vulnerable due to being only 7 years old.,0,NULL,0,NULL,1,May struggle to interact safely as a child in unfamiliar situations.,0,NULL,0,NULL,0,Weather conditions were normal at the time of disappearance.,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,1,Intent to disappear indicates unusual behavior for his age.,1,Expressed desire to disappear suggests a reason to go missing.,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL
2,13268,8431,Low,Low,Oliver,Schofield,2014-01-19,Salisbury,8,Male,Home Address,,1268,2022-02-03 05:42:00,2022-02-04 21:42:00,Friday,2740,2022-02-05 03:22:00,"14 East Park, Inchmarlo, AB31 4GB",Home,Nicola White,"Mill Road, Insch, AB52 6JA",Traced by staff,"Oliver Schofield went missing from 14 East Park, Inchmarlo, reportedly seen near the home elevator with foster sister Naomi. He was later traced safely by staff after being found on the elevator at a nearby cafe enjoying snacks.","Home,cafe",14 East Park Inchmarlo,elevator,Naomi,,,,0,NULL,0,NULL,1,"Although MP is in foster care, he is still a child and vulnerable due to age.",0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,1,"He was intending to use the elevator, which aligns with typical behavior.",0,NULL,0,NULL,0,NULL,0,NULL,0,NULL
3,33230,8431,Medium,High,Oliver,Schofield,2014-01-19,Salisbury,8,Male,Home Address,,1268,2022-07-26 03:22:00,2022-07-26 06:22:00,Tuesday,5619,2022-07-30 01:01:00,"Craigour Road, Torphins, AB31 4UE",arcade,Kerry Henderson,"Craigour Road, Torphins, AB31 4UE",Traced by family,"Oliver Schofield was last seen at an arcade near the sports arena. Colin and Deborah Taylor were there, but could not find him after leaving the venue.",arcade,,sports arena,"Deborah Taylor,Colin",,,,0,NULL,0,NULL,1,"He is 8 years old, making him vulnerable due to age.",0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,1,Going missing at an arcade is unusual for a young child.,0,NULL,0,NULL,1,"He was last seen at an arcade, indicating he intended to play.",0,NULL,0,NULL,0,NULL,0,NULL,0,NULL
4,67085,8431,Low,Low,Oliver,Schofield,2014-01-19,Salisbury,9,Male,Home Address,,1268,2023-01-20 01:01:00,2023-01-20 15:01:00,Friday,1679,2023-01-21 05:00:00,"14 East Park, Inchmarlo, AB31 4GB",Home,Kerry Henderson,"Mill Road, Insch, AB52 6JA",Traced by member of the public,"Oliver was last seen with Suzanne Jones at a cabin near 3 Kingsford Road, Alford. Later found safe near Craigour Road, Torphins, guided by a helpful passerby.",,"3 Kingsford Road Alford,Craigour Road Torphins",cabin,Suzanne Jones,,,,0,NULL,0,NULL,1,"Although Oliver is 9 years old, he is vulnerable due to his age.",0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,1,Going missing is unusual for a 9-year-old in foster care.,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL
5,95811,8431,Medium,Medium,Oliver,Schofield,2014-01-19,Salisbury,9,Male,Home Address,,1268,2023-04-04 05:00:00,2023-04-04 19:00:00,Tuesday,6990,2023-04-09 01:30:00,"Bog Road,  AB31 4JU",cafe,Kerry Henderson,"A939, Corgarff, AB36 8YL",Traced by Police,"Oliver Schofield was last seen leaving a cafe on Bog Road, AB31 4JU. Conflicting reports suggest he intended to visit a relative at a cabin near Craigour Road, Torphins, AB31 4UE. He was not accompanied by anyone at the time of his departure. Inquiries later revealed that Oliver may have entered an elevator in a nearby building. Naomi, a family acquaintance, later reported seeing Oliver near 14 East Park, Inchmarlo, AB31 4GB, but lost sight of him. He was eventually found safe by police near A939, Corgarff, AB36 8YL, seemingly unharmed.",,"East,14 East Park Inchmarlo AB31 4GB,Craigour Road Torphins AB31 4UE,Bog Road AB31 4JU","elevator,cabin",Naomi,,,,0,NULL,0,NULL,1,"Although Oliver is young at age 9, he is in a foster case.",0,NULL,0,NULL,1,"Oliver, being only 9 years old, may struggle in unfamiliar environments.",0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,1,"His disappearance involved leaving a cafe alone, which is unusual behavior.",1,"Oliver was reportedly intending to visit a relative, suggesting a possible reason.",0,NULL,1,He intended to visit a relative but did not successfully complete that intention.,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL
6,60914,8431,High,High,Oliver,Schofield,2014-01-19,Salisbury,9,Male,Home Address,,1268,2023-06-25 01:30:00,2023-06-25 15:30:00,Sunday,2007,2023-06-26 10:57:00,"14 East Park, Inchmarlo, AB31 4GB",Home,Kerry Henderson,"14 East Park, Inchmarlo, AB31 4GB",Traced by Police,"Oliver Schofield was last seen playing with his friend at 14 East Park, Inchmarlo, before they decided to explore a nearby sports arena. His friend, Colin, later mentioned they were pretending to be football stars in the empty venue. However, Colin returned home without Oliver, believing he was on his way back. A search ensued, with concerns heightened due to Oliver's adventurous nature and proximity to a nearby boat dock. The police, considering the high initial risk, conducted extensive searches. Ultimately, Oliver returned safely to his home at 14 East Park, having detoured to the docks to watch boats under the evening sky.",,14 East Park Inchmarlo,"boat,sports arena",Colin,friend,,,0,NULL,0,NULL,1,"Although MP is young, he is vulnerable due to being 9 years of age.",0,NULL,0,NULL,1,MP may have difficulty interacting in unfamiliar settings due to his age.,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,1,"Going missing was out of character for MP, as he typically stays nearby.",1,MP was playing with a friend before deciding to explore the sports arena.,0,NULL,1,MP intended to explore but failed to return when expected.,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL
7,44393,8431,Low,Low,Oliver,Schofield,2014-01-19,Salisbury,9,Male,Home Address,,1268,2023-07-13 10:57:00,2023-07-14 04:57:00,Friday,2209,2023-07-14 23:46:00,"14 East Park, Inchmarlo, AB31 4GB",Home,Nicola White,"14 East Park, Inchmarlo, AB31 4GB",Traced by member of the public,Kerry found Oliver at a cabin after MP expressed wish to disappear.,,,cabin,,,Kerry,expressed desire to disappear,0,NULL,0,NULL,1,"Oliver is 9 years old, making him vulnerable due to age.",0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,1,Expressed desire to disappear is out of character for Oliver.,1,"Oliver wished to disappear, indicating a reason for going missing.",0,NULL,1,"Oliver intended to disappear when last seen, and he accomplished this.",0,NULL,0,NULL,0,NULL,0,NULL,0,NULL
8,9954,8431,Low,Low,Oliver,Schofield,2014-01-19,Salisbury,9,Male,Home Address,,1268,2023-11-11 23:46:00,2023-11-12 17:46:00,Sunday,2525,2023-11-13 17:51:00,"14 East Park, Inchmarlo, AB31 4GB",Home,Nicola White,"Craigour Road, Torphins, AB31 4UE",Traced by Police,"MP went missing from 14 East Park, Inchmarlo, after expressing a desire to disappear. A friend last saw MP at a sports arena.",,"East,14 East Park Inchmarlo",sports arena,,friend,,expressed desire to disappear,0,NULL,0,NULL,1,"Oliver is 9 years old, making him vulnerable due to age.",0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,1,Desiring to disappear is a deviation from typical behavior patterns.,1,"MP expressed a wish to go missing, indicating a reason to disappear.",0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL
9,83826,8431,Medium,High,Oliver,Schofield,2014-01-19,Salisbury,10,Male,Home Address,,1268,2024-04-01 17:51:00,2024-04-02 09:51:00,Tuesday,2217,2024-04-03 06:48:00,"14 East Park, Inchmarlo, AB31 4GB",Home,Nicola White,"14 East Park, Inchmarlo, AB31 4GB",Traced by Police,"Oliver Schofield, a 10-year-old boy, was reported missing from his foster home at 14 East Park, Inchmarlo. Known for expressing a desire to disappear, it was initially suspected that Oliver may have intentionally left to seek solitude. Reports from neighbors indicated that Oliver was last seen walking along Bog Road towards Craigour Road, Torphins, in the direction of 3 Kingsford Road, Alford. Concern grew due to Oliver's past statements about running away, raising his risk level from medium to high. With the support of Geoffrey Williams, a family friend, local authorities conducted an extensive search in these areas. Oliver was eventually found safe at his home by the police, putting an end to the distressing incident for all involved.",,"Bog Road,Craigour Road Torphins,3 Kingsford Road Alford",,Geoffrey Williams,,,expressed desire to disappear,0,NULL,0,NULL,1,He is 10 years old and vulnerable due to his young age.,0,NULL,0,NULL,1,"He has expressed a desire to disappear, indicating difficulty in unfamiliar situations.",0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,1,His behavior of wanting to disappear is not typical for a child of his age.,1,He has previously mentioned wanting to run away and seek solitude.,0,NULL,1,He was intending to walk but did not complete his journey back home.,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL
