2 Dalgleish Road, Dundee, DD4 7JR
33 Blackness Avenue, Dundee, DD2 1EY
22 Marine Parade Walk, Dundee, DD1 3AU
28A Dura Street, Dundee, DD4 6RX
Commerce Street, Brechin, DD9 7BD
Stannergate Road, Dundee, DD1 3NA
296A Strathmore Avenue, Dundee, DD3 6SH
Tayside Street, Carnoustie, DD7 6AX
Findcastle Street, Dundee, DD4 9EW
19 Dalgleish Street, Tayport, DD6 9BB
39 Arthurstone Terrace, Dundee, DD4 6QY
38 Forrestal Street, Brechin, DD9 7XG
1 Alloway Place, Dundee, DD4 8UA
Minto Place, Dundee, DD2 1BR
1 Pitfour Street, Dundee, DD2 2NT
Kirsty Semple Way, Dundee, DD2 4BF
2 Alex King Way, Arbroath, DD11 2AS
Roseberry Street, Dundee, DD2 2NS
Finavon Street, Dundee, DD4 9DU
New Road, Forfar, DD8 2AE
Derwent Avenue, Dundee, DD3 0AX
Turnberry Avenue, Dundee, DD2 3TP
31 Church Road, Dundee, DD2 5NN
150 Strathmartine Road, Dundee, DD3 7SE
12 South Esk Road, Forfar, DD8 3SJ
3 Boniface Place, Dundee, DD2 5DR
2 Herod Hill Brae, Dundee, DD4 8FG
214 Broughty Ferry Road, Dundee, DD4 6LD
Dundee Road, Arbroath, DD11 2NQ
Gray Den, Dundee, DD2 5LR
23 City Road, Dundee, DD2 2BL
541 South Road, Dundee, DD2 4FP
Adelaide Place, Dundee, DD3 6LE
Hyndford Street, Dundee, DD2 1HQ
146 Pitkerro Road, Dundee, DD4 8ER
Glamis Road, Dundee, DD2 2UB
484 Perth Road, Dundee, DD2 1LR
28 Railton Gardens, Arbroath, DD11 3FA
Discovery Quay, Dundee, DD1 4XA
11 Panmure Terrace, Dundee, DD5 2QL
6 Lownie Road, Forfar, DD8 2RT
St Mary's Lane, Newport-on-Tay, DD6 8AH
Unit 3 Fowler Road, Dundee, DD5 3RU
71 Lothian Crescent, Dundee, DD4 0HU
East School Road, Dundee, DD3 8NX
10 Ancrum Road, Dundee, DD2 2HZ
41 Dock Street, Dundee, DD1 3DR
135 Rosebank Street, Dundee, DD3 6PP
King's Cross Road,  DD2 3PT
Auldbar Road, Forfar, DD8 2PD
1 Logie Street, Dundee, DD2 2QF
Ballumbie Road, Dundee, DD4 0PD
31 Step Row, Dundee, DD2 1AH
16 Cleghorn Street, Dundee, DD2 2NR
Fort Street, Dundee, DD2 1BS
