31-37 Aberlour Street, Rosyth, KY11 2SD
12 Fyne Brae,  KY11 8XG
7 Pitreavie Court, Dunfermline, KY11 8UU
Castle Road, Rosyth, KY11 2AU
35 Fowler Street, Cellardyke, KY10 3HU
10 Inch View, Kinghorn, KY3 9SH
11 Lorimer Gardens, Dunfermline, KY12 0BJ
18-21 Mellor Court, Rosyth, KY11 2RB
3 Seals Craig View, Burntisland, KY3 0AX
5 Bow Butts, Crail, KY10 3UR
Leargan, Leven, KY8 5BJ
13 Jutland Street, Rosyth, KY11 2ZL
12 Selvage Street, Rosyth, KY11 2QA
15 Milne Gardens, Crail, KY10 3SG
30 Selvage Place, Rosyth, KY11 2QG
42 Mid Shore,  KY10 2NW
26 Leslie Road, Rosyth, KY11 2LB
28 Birch Avenue, Kinghorn, KY3 9YN
1 Findlay Crescent, Rosyth, KY11 2RE
28 Cunzie Street, Anstruther, KY10 3DF
66 Kirkbank Road, Burntisland, KY3 9JA
Abbey Road, Newburgh, KY14 6HH
137 Park Road West, Rosyth, KY11 2TL
10-16 Wood Place, Rosyth, KY11 2SU
16 Burney Place, Rosyth, KY11 2PN
9 Lowry Place, Rosyth, KY11 2PR
1 Fidra Avenue, Burntisland, KY3 0BE
1 Dick Place, Rosyth, KY11 2JG
54 Nethergate South, Crail, KY10 3TZ
3;5 South Feus, Upper Largo, KY8 6EQ
Dunnikier Park, Kirkcaldy, KY1 3LP
97 Backmarch Road, Rosyth, KY11 2RP
St Margaret's Head, North Queensferry, KY11 1HP
Langlands Road, St Andrews, KY16 8BN
8 King's Place, Rosyth, KY11 2SB
Lochies Road, Burntisland, KY3 9JX
1 Burnside Gardens, Burntisland, KY3 0DP
71 King's Crescent, Rosyth, KY11 2RT
36 Parkgate, Rosyth, KY11 2JW
7 Dollar Grove, Burntisland, KY3 0JZ
Carnegie Avenue, Dunfermline, KY11 8PJ
Lammerlaws, Burntisland, KY3 9BS
Lodge Rise, Glenrothes, KY7 5TG
23 Largo Road, St Andrews, KY16 8NH
63 Parkside Street, Rosyth, KY11 2LU
22 Nicol Drive, Burntisland, KY3 9JB
5 Seamill Gardens, Burntisland, KY3 0DE
8 Camdean Lane, Rosyth, KY11 2TA
North Street, Glenrothes, KY7 5LT
4 Hillwood Terrace, Rosyth, KY11 2DJ
2-8 Willow Crescent, Rosyth, KY11 2ZS
10 Rumford, Crail, KY10 3SS
1 Collinswell Drive, Burntisland, KY3 0AU
26 Bolam Drive, Burntisland, KY3 9HP
Wood Road, Rosyth, KY11 2EA
Burntisland Road, Kinghorn, KY3 9RZ
9-20 John Woods Houses, Upper Largo, KY8 6HB
1 Canmore Street, Kinghorn, KY3 9RH
9 Kilcruik Road, Kinghorn, KY3 9XH
1 Newton Place, Rosyth, KY11 2LX
Ladybank Road, Pitlessie, KY15 7SP
Abbey Park Avenue, St Andrews, KY16 9LQ
24 Car Craig View, Burntisland, KY3 0DS
32 Hamilton Place, Rosyth, KY11 2PJ
Leckerstone Farm, Dunfermline, KY11 3DL
Kinghorn Road, Burntisland, KY3 9LL
23 Tod's Green, Crail, KY10 3UU
Seaforth Place, Burntisland, KY3 9AX
16 Albert Street, Rosyth, KY11 2SA
3 Russell Grove, Burntisland, KY3 9HL
75 Nethergate, Crail, KY10 3TX
41 West Leven Street, Burntisland, KY3 9DZ
47 Geds Mill Close, Burntisland, KY3 0BF
Castlandhill Road, Rosyth, KY11 2PZ
1 Kerr Court, Burntisland, KY3 0JG
1 Crossroads Place, Rosyth, KY11 2LS
28 Castle Street, Crail, KY10 3SJ
6 Kirkton Gardens, Burntisland, KY3 0DR
43 Findlay Street, Rosyth, KY11 2RF
8 Bowling Green Place, Crail, KY10 3TG
38 Backmarch Crescent, Rosyth, KY11 2RW
3 Dove Street, Cellardyke, KY10 3AN
34 Kirkton Drive, Burntisland, KY3 0DD
13 Charles Logan Place, Rosyth, KY11 2QP
39-42 Alexander Place, Rosyth, KY11 2DB
6-9 West Green, Crail, KY10 3RD
23 Norval Place, Rosyth, KY11 2RJ
7 Dorran Square,  KY6 3DU
21 David the First Street, Kinghorn, KY3 9SR
3 Elder Place, Rosyth, KY11 2QU
9 Darney Terrace, Kinghorn, KY3 9RF
1 Primrose Avenue, Rosyth, KY11 2SX
16 Oxcars Avenue, Burntisland, KY3 0AY
6-10 North Feus, Upper Largo, KY8 6ER
1 Parkside Square, Rosyth, KY11 2LZ
15 Woodside Avenue, Rosyth, KY11 2JS
61 Harley Street, Rosyth, KY11 2NE
7 Aithernie Drive, Upper Largo, KY8 6EX
53 Newton Crescent, Rosyth, KY11 2QW
36-42 Watson Avenue, St Andrews, KY16 8JE
2 Dollar Road, Burntisland, KY3 0HJ
School Lane, Hillend, KY11 9LE
34 Pettycur Bay, Kinghorn, KY3 9SB
32 Caledonia Court, Rosyth, KY11 2ZJ
2-33 Calum Macdonald Court, Rosyth, KY11 2BU
Abbey Walk, St Andrews, KY16 9LB
Hawkcraig Road, Aberdour, KY3 0TZ
1 Craig Court, Burntisland, KY3 0AT
